fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
사설,https://15774129.go.kr/BCUser/facilitypic/1460682259028_1000000068_0.JPG,고려대안산병원장례식장,"경기도 안산시 단원구 적금로 123 (고잔동, 고려대학병원)",tel:031-411-4441,031-411-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000366/1559113945904.jpg,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",tel:031-467-9114,031-467-9114,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,1개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1581907250970_7000002320_0.jpg,성남시의료원장례식장,"경기도 성남시 수정구 수정로171번길 10 (태평동, 성남시의료원)",tel:031-738-7450,031-738-7450,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,17개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000645/1563433204283.jpg,의정부성모장례식장,"경기도 의정부시 천보로 271 (금오동, 의정부성모병원)",tel:031-820-3468,031-820-3468,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1435812872123_7000001029_0.jpg,(재)하늘가장례식장,경기도 화성시 향남읍 발안로 322 (관리),tel:031-366-4444,031-366-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000945/1554880951726.jpg,오포장례식장,경기도 광주시 오포읍 오포로 225-7 (능평리),tel:031-797-0444,031-797-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,18개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1486800015757_1000000691_0.jpg,(주)코스모스제일장례식장,경기도 안산시 상록구 수인로 1222 (일동),tel:031-406-2000,031-406-2000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000659/1555652473900.jpg,일산백장례서비스(주),"경기도 고양시 일산서구 주화로 170,일산백병원B2층 (대화동)",tel:031-910-7444,031-910-7444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002143/1579507836538.jpg,교원예움 화성장례식장,경기도 화성시 마도면 쌍송북로 111 (두곡리),tel:031-355-8000,031-355-8000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,14개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1466645271213_1000000327_0.jpg,부천성모병원장례식장,"경기도 부천시 원미구 소사로 327 (소사동, 가톨릭대부천성모병원)",tel:032-340-7300,032-340-7300,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,0개월전 업데이트
