id,name,type,religion,address,lat,lng,price_range,rating,review_count,image_url,description,features,phone,prices,gallery_images,reviews,created_at,owner_user_id,is_verified,data_source,price_info,ai_context,naver_booking_url,parent_id,operating_hours,business_license_image,verified_at
24,쓰담별,pet,,서울특별시 종로구 종로 6 광화문우체국 5층,37.5698583,126.9781097,,4.3,5,https://mediahub.seoul.go.kr/uploads/mediahub/2022/06/rijSIzlbxWxeRvyhqnfSxYQAXJBRBJBO.jpg,"쓰담별은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,,[],[],[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
25,펫나잇,pet,,서울특별시 성북구 개운사길 83-13 3층 303호,37.5888839,127.0289245,,4.1,5,,"펫나잇은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,,[],[],[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
28,애견장례,pet,,서울특별시 노원구 한글비석로24길 14 4층 4245호,37.6627642,127.0724033,,4.3,5,http://imgnews.naver.net/image/5484/2020/07/17/0000052322_001_20200717172231571.jpg,"애견장례은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,,[],[],[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
32,왈펫,pet,,서울특별시 강남구 선릉로 620 4층,37.5136997,127.0426175,,4.5,5,https://mediahub.seoul.go.kr/uploads/mediahub/2022/06/rijSIzlbxWxeRvyhqnfSxYQAXJBRBJBO.jpg,"왈펫은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,,[],[],[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
34,펫맘스톤,pet,,서울특별시 성북구 숭인로8길 80 103동 908호,37.6103479,127.0263841,,4.9,5,http://imgnews.naver.net/image/018/2024/11/16/0005886815_005_20241116100410137.jpg,"펫맘스톤은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,,[],[],[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
35,펫포레스트 반려동물장례식장 경기광주점,pet,,경기도 광주시 오포안로 77 펫포레스트,37.3525355,127.1981503,,4.7,5,https://places.googleapis.com/v1/places/ChIJA8V_1hNWezURj5P9Jese1CE/photos/AZLasHrV2Ju5RZxeXn9bLFgSqhgHQdoxsil8Q-0DoZ-WidR5Zj0rCYIQYJpFSMcySrltY_WlyIfbXFOGvIO0EO7cAr6Q8SXeG1xBmbG3SZMdjht56l9CS6m4HjG4k2msiCJ000LlJXk8x1T76K9NJ152Ocl9zl7vNfnv2Xiiq-jCeCZPWfLGxrKAdJPD3ImlkPh9qUe1dG6PlgmJMLiP-GGHl8eLvJYUJkCqJ8pTwbkgUAhrcGhPM_A9uqlIlgnRo1nCSVm_1EAGwmUCIoGcL76SdhNQuoIpC_lki9rDgcF202XMAA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg,"펫포레스트 반려동물장례식장 경기광주점은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,1577-0996,[],"[""https://places.googleapis.com/v1/places/ChIJA8V_1hNWezURj5P9Jese1CE/photos/AZLasHrV2Ju5RZxeXn9bLFgSqhgHQdoxsil8Q-0DoZ-WidR5Zj0rCYIQYJpFSMcySrltY_WlyIfbXFOGvIO0EO7cAr6Q8SXeG1xBmbG3SZMdjht56l9CS6m4HjG4k2msiCJ000LlJXk8x1T76K9NJ152Ocl9zl7vNfnv2Xiiq-jCeCZPWfLGxrKAdJPD3ImlkPh9qUe1dG6PlgmJMLiP-GGHl8eLvJYUJkCqJ8pTwbkgUAhrcGhPM_A9uqlIlgnRo1nCSVm_1EAGwmUCIoGcL76SdhNQuoIpC_lki9rDgcF202XMAA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJA8V_1hNWezURj5P9Jese1CE/photos/AZLasHowhotTaAsa7GNgPbeDoa3cZ6TUspAq-Zu4Cmot5dHp06q8BvSWKWGSFxc-e2IMg7hdapBV9Y706LftGf4eA7C9qE7ncjuVOk5r1QggmY-Zc8srZJnHl-10JTnh91YYD_Pm8-W1_iIybOKIIxB5nyHquejNyD_RBb4ULhJQU24lFMSXrgNhAt3KpmB-H446JrAImEYXn4-qb78fZESWly0rKzWj0Tz4s2A-Tktcgb4aKToCp703A3Ccem7Mdg9b4HO2Xl0Os9uAol1XzPBKkYAw2zw-uljXiMyrOb3UkzkYvA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJA8V_1hNWezURj5P9Jese1CE/photos/AZLasHpjd8c4xXPMBNLhPr_VQA4BJeI-0nBfJDES_idPn2RZMuadplldA2Ti1f_J85P09EiEAdyilfDMDBEKIl3Dy80tyu6dseXGyYbm0RXV77mkr03bIWvBMWhof71K9AFkwbg1GPF5L35vRngX5oOVSKl57C1sMCBO5BN_3GwENXs6Hft2Xgq71t9XKwWgOArOHVatX45kH4wjd1mlZ6UG4YMLzH3wIIz-_5WcAkL4cnI8BkgZH6Bt9__YIg2uKui34KqEblL2KbQpFlqWG9rvpnb1m7fizfBA94_-culTHjTnobD0QKoz3nXrgIBgmH2TbNc04OPIOHmyXIdmIBk1EghgWl62MD6HA_g14_7xl2BdLotLd6-Ywfrf-lv7grX7wO-pbJgNTVXjb3jSreoDKlCStev2v-XNIk16Lw-mqK40jXWhs25XQ0JQ_ZX3/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg""]",[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
36,포포즈 반려동물장례식장 김포점,pet,,경기도 김포시 월곶면 애기봉로 262 포포즈 김포점,37.7302033830478,126.575615125759,,0,0,https://places.googleapis.com/v1/places/ChIJUSKHhbl9fDURv-Yh0LPDI1Y/photos/AZLasHqnKncA_qW2LYlM8dEC5BlqQ2AwNIEVVc4TRjmUyyhWImFuHaaMqBr7ZJiommkC8dKTuWMownE_W_c7s_V7QtxCQbGlGfWW1D_ygULTa4X3NrYn7qZwyfRZLDqXJxoqa4Sj0ZCNWQqLceNlI5JtlhKHLRKT4Tsc3W3Mgs2EtB4zOYQa5fLsJidEdAJRjkQsPvo2q-jKgJeaVgqM2dX4wxqqjLFdW_73BltzyBeQNyphTLOxje-A2cyWGVE9rld9H1omkBw-nroC_plqHb9diwUBNqnAcBaxy3y3tn9BdIPRRA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg,,,1588-2888,[],"[""https://places.googleapis.com/v1/places/ChIJUSKHhbl9fDURv-Yh0LPDI1Y/photos/AZLasHqnKncA_qW2LYlM8dEC5BlqQ2AwNIEVVc4TRjmUyyhWImFuHaaMqBr7ZJiommkC8dKTuWMownE_W_c7s_V7QtxCQbGlGfWW1D_ygULTa4X3NrYn7qZwyfRZLDqXJxoqa4Sj0ZCNWQqLceNlI5JtlhKHLRKT4Tsc3W3Mgs2EtB4zOYQa5fLsJidEdAJRjkQsPvo2q-jKgJeaVgqM2dX4wxqqjLFdW_73BltzyBeQNyphTLOxje-A2cyWGVE9rld9H1omkBw-nroC_plqHb9diwUBNqnAcBaxy3y3tn9BdIPRRA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJUSKHhbl9fDURv-Yh0LPDI1Y/photos/AZLasHqbXezonMR40mCQ-80aZwqmsOM-30gj3R3JmtqhUYACznugAu6EW6m17BM07nKZR_3gH4X0s1LQnH_ggcBELdlc_zlLrSkSpZszEaFSxaTAltqkb_1sKn1dsiKxcgJBfR88h3CNKlo8Gtua9btXupXCYqEc3XwuoudeOV1u0SZ46ZNiPHXduyGqrU1PkhUtDouxM87fmS_qeRn4zPI3MaF1bKobmtNByAU9MLJ2NOVK2auBfaPnQDauZaPRjl5cZoCON_4hRcnsz6rluwDSbykFIEqR-MBezq26pVMR7gvqiw/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJUSKHhbl9fDURv-Yh0LPDI1Y/photos/AZLasHqyd_3NT3jQ0qLxpa4L9ZFJtVcGsiQLCrqyjMEK0GvI-c-wpdIFc_Dhb4_wEJP-rLJ0rYsVW6i_mSsjsdOajLUkn23PIoUcF0HSwrVZrvhr0IgjbqvkcVLZa0vELDhk3dzibVzUwtp-n-abE_VvVYxbaiXpkhnna_ZeKa_kGPGYg1Da1aC6yx_VbN4UBiskTbOl7yf9WYQDKmCC4YN9tq7WjXhszYdS2qTadItLPnxCMw2B7GFRQPXWhuzIv-ZD5ymRZ8iMKnEa3xhZX8aW_L3zDY-OyGyIher-o4e-mVZnnQ/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg""]",[],2025-12-23T01:37:25.955272+00:00,,true,user_request_verified,[],,,,,,
37,21그램 반려동물장례식장 경기광주1호점,pet,,경기도 광주시 매자리길 185-35,37.3483058,127.2638591,,4.9,5,https://places.googleapis.com/v1/places/ChIJ_0AbYrClfDUR8Ruk-Qt0qTI/photos/AZLasHoPyCfWwlx4pyCxnYg5eNvd-Uq6w4ZJj66RJqpOjmM-_LVW5BTXqw-rKJHL9a98J9qqN2qr2D6ARqwsAsjGXKzcUy-ts0VX8NaG0zLqlJ6stAgyi2MSwo30AGPqTa1m4-7VD622QLvxZgY-6Ofu3RjK0_NWqhzGVvU7TPRGd2pKwnk2d8rzxot4N4sXaATH-2pl7rgphp6n-ZEPoKedNy1H_Dxij0DPEFRHP1VDJWwi9vFbJI7aeQuY8BszE9Hjdfl4IGP6mMc2e7E6zRQf091MsgrvR652fR5Y_0XT4Xa8sw/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg,"21그램 반려동물장례식장 경기광주1호점은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,1688-1240,[],"[""https://places.googleapis.com/v1/places/ChIJ_0AbYrClfDUR8Ruk-Qt0qTI/photos/AZLasHoPyCfWwlx4pyCxnYg5eNvd-Uq6w4ZJj66RJqpOjmM-_LVW5BTXqw-rKJHL9a98J9qqN2qr2D6ARqwsAsjGXKzcUy-ts0VX8NaG0zLqlJ6stAgyi2MSwo30AGPqTa1m4-7VD622QLvxZgY-6Ofu3RjK0_NWqhzGVvU7TPRGd2pKwnk2d8rzxot4N4sXaATH-2pl7rgphp6n-ZEPoKedNy1H_Dxij0DPEFRHP1VDJWwi9vFbJI7aeQuY8BszE9Hjdfl4IGP6mMc2e7E6zRQf091MsgrvR652fR5Y_0XT4Xa8sw/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJ_0AbYrClfDUR8Ruk-Qt0qTI/photos/AZLasHoZsv-ckSoocJk9fMcHgSGeLYSjuKQK7kds_wV30gWxIceq1-TTB-rPBAfT6otyOLrJ_DS2cpMBqD643wP0wEsQGhJnIt5VNZNSX6bRkDPBvdUz5MwctsbSpSkD0P4W-CSLyrUscHXh1mzgEcieb5qaHv6Cj5Narqpm3Vo3KE_yzJBThO8FH-gQksfx2rqfMkF_nBmt0pyFLiM2-u_BkZkNyZLvzKUqmtpQjy84oeDQm677zrIxR1TPWmaG8c_Ka7KtZOLrnaU3Y1zIKcTpOYpS71y2LXNxXJ6b_O4WqNsziJMRsg-hsQSXjUGLbENwd0hjI03WoeZKGPVmk7IzcAFXe_DxZu0vuB56oPnuPJUW59-17fon9m7CqAQoB1_Ro9f3QzQfIDfBsSoJbvuk8m1mwE3lE8lLYvvb0A3scTs-/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJ_0AbYrClfDUR8Ruk-Qt0qTI/photos/AZLasHr9Ygcrapq1tbyBiObdVcn74kJCRn_QtrtHi9v-Q7XQc29RpybwJt33wI49LwLgqhOKxBLx_az8YrZYGQRgS-rP_XQ8fpx0toTXck5xLqVApw3zMP2jFj0EoPHOCH1c4-NWOoRhlqCfE6GW4vOFtYpQ6oTJswrjS3kzPju-1eJHYkWxrBN3scYugTyY2bM5KqLucypl-QAjsQL5vrRuaBAQiygG9GsbJJnsa2cjB0rODnW-Q2Zfe77nBA5JkAXhA1bOXrRjZV2r7EEKROyQFkV_8Qg3x6CVdWZtugCOXukKrPQ6NqliSHsMf4L62q5DfYLWkRp6aIkyHPfkNtymP27-h8lgfP48Qzj5nlyvEUuZ-BdVke5EXjQVYCo4QbyRqohC6U0tLS37qTR8G67U5yx-jJQ5SCvD4MDAnYYU7FH_Yp0/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg""]",[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
38,리멤버 반려동물장례식장,pet,,경기도 용인시 처인구 남사읍 원암로 535,37.1073234,127.1722417,,4.8,5,https://places.googleapis.com/v1/places/ChIJYfQWNqJJezURTdWCK4FsvQA/photos/AZLasHpYnP03qLn_xKln-OJeYw3RP5CBqVus1BziJ9pnZm6vHMe3vWiU_RJr6ey3msLmBeJoCHFko0tU2bwcj0rczesAIjjsHfkzxdzAjKy8XW0zl3NpNzjGgnXuf-dMLXbQidyEafYrVxD7lESNTzl3m983qsMppXo3o28jLNPPdAFaUGSofd3dj8j5zgAe8KHxOcWDEmZtq8Q1HnnYVD7oTYln9U72H7KMyryc5EOmSS9r4HxJ5SDHZz3Z6Xf9-Dl4ZsxQH9obGwzxQmaQclecpQEBqiap-Lw7iK2AgyZkbF5rBQ/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg,"리멤버 반려동물장례식장은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,080-200-5004,[],"[""https://places.googleapis.com/v1/places/ChIJYfQWNqJJezURTdWCK4FsvQA/photos/AZLasHpYnP03qLn_xKln-OJeYw3RP5CBqVus1BziJ9pnZm6vHMe3vWiU_RJr6ey3msLmBeJoCHFko0tU2bwcj0rczesAIjjsHfkzxdzAjKy8XW0zl3NpNzjGgnXuf-dMLXbQidyEafYrVxD7lESNTzl3m983qsMppXo3o28jLNPPdAFaUGSofd3dj8j5zgAe8KHxOcWDEmZtq8Q1HnnYVD7oTYln9U72H7KMyryc5EOmSS9r4HxJ5SDHZz3Z6Xf9-Dl4ZsxQH9obGwzxQmaQclecpQEBqiap-Lw7iK2AgyZkbF5rBQ/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJYfQWNqJJezURTdWCK4FsvQA/photos/AZLasHroabCJtRFklFGicmHiL24KgsklRN1gYN5TFxxXY8rItoL88wuOHKosZCXlVG6nE-XmDfa6me7RQKmIc6PG2qN8yI_V7b20q0epwypqgfopV71RhYv2CyM1FHLD8WY_qTgXw-jMJliDPNBYB4NWtVY0U5OurvRlWxYraDQsB3PSdDv2CVIo9CkEf5CAax3WDC446yJ7eSqAesgKd7qIxv49-dSQqffPTa8gbZcT2ykuVw40ly0bb-XMqo8Lr09NuAgoDedd0Ka9qZxJ9oNSJXGDb23zemxbQiwC6kbTPZmMLg/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg"",""https://places.googleapis.com/v1/places/ChIJYfQWNqJJezURTdWCK4FsvQA/photos/AZLasHq4XWsaYe4DLdlEOmQfv0bEyw0ncZNb0XafsezE2Nl_tegDUeO1mSMT4rs-WApN6Nd71mmT7uZPOrAGwUTsS81R-oovn1_6zKeozWtTkcLwemeNe5upyghaGI6xpxeJdnH32x0UbLCkEIjyWrw8Q-YKM5MVTwzC5vYx9_sxUFEvsntPlxZXwQIQ0fU586UwrhQZ8MydVCIr28ubphk08lzB6C_mHRO6d3d16yCou7xHC1zym5oIr3K4aK26ZEWIMxYE-gMnQ-68q9SKlOVwUVDSVaIa2xrsljg--S22IpcRKA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg""]",[],2025-12-23T01:37:25.955272+00:00,,true,naver_import,[],,,,,,
39,펫바라기 일산점,pet,,경기도 고양시 일산동구 은마길63번길 25-2 펫바라기,37.7137500441395,126.805796936402,,4.4,5,https://ldb-phinf.pstatic.net/20200103_235/1578041430562UW1CI_JPEG/Jtf9xmdr3mBf9QcyXKLmm2-r.JPG.jpg,"펫바라기 일산점은(는) 소중한 반려동물을 위한 품격 있는 이별을 돕습니다. 전문 장례지도사가 24시간 상담을 도와드리며, 개별 화장과 추모 공간을 제공합니다.",,,[],[],[],2025-12-23T01:37:25.955272+00:00,,true,user_bulk_extension,[],,,,,,
