시설명,주소,전화번호
"(재)실로암공원묘원","부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)","051-721-5115"
"(재)삼덕공원묘원","울산광역시 울주군 삼동면 삼덕로 426 (조일리, 삼덕공원관리사무소)","1522-4144"
"재단법인울산공원묘원","울산광역시 남구 문수로217번길 34 (옥동)","052-994-4004"
"(재)대지공원묘원","충청북도 음성군 생극면 오신로 504-63 (신양리)","043-878-3854"
"재단법인선산공원묘원","경상북도 구미시 옥성면 선상동로 419 (초곡리)","054-481-0409"
"재단법인 솥발산공원묘원","경상남도 양산시 하북면 삼덕로 288 (답곡리)","055-382-7714"
"재단법인 로엠(묘지)","충청남도 천안시 동남구 광덕면 광덕로 383 (신덕리)","1544-4471-"
"(재)서울공원묘원","경기도 용인시 처인구 이동면 백자로 41 (서리, 서울공원묘원사무실)","031-332-2444"
"(재)이화공원묘원","경상남도 고성군 상리면 장치로 220-107 (자은리)","055-674-0909"
"(재)남양공원묘원","경상북도 성주군 선남면 관용로 401-41 (오도리)","054-932-4444"
"(재)하늘나라공원 포천묘원","경기도 포천시 소흘읍 부흥로 212,2층 (무봉리)","031-542-1302"
"(재)경춘공원묘원","강원특별자치도 춘천시 서면 노동길 181 (안보리)","033-263-7300"
"(재)화신공원묘원","전라북도 정읍시 옹동면 옹동용호길 110-76 (용호리)","063-538-4905"
"(재)풍산공원묘원","충청남도 천안시 동남구 병천면 풍산공원길 70 (봉항리, 풍산공원묘역)","041-554-4199"
"(재)호정공원(묘지)","전라북도 완주군 화산면 운곡로 381-64 (운곡리)","063-214-1009"
"(재)동산공원묘원","경상북도 포항시 남구 동해면 동해안로 5294-90 (상정리)","054-248-4444"
"유달공원묘지","전라남도 무안군 삼향읍 수련길 255 (지산리)","061-282-4437"
"(재)지평선전북공원묘원(묘지)","전라북도 김제시 금구면 선암1길 290 (선암리)","063-546-5011"
"(재)진달래문화재단","충청북도 충주시 앙성면 와평2길 84 (지당리)","043-855-4444"
"(재)석계공원묘원","경상남도 양산시 상북면 오룡길 148-45 (외석리, 석계공원묘지)","055-374-8436"
"(재)자하연포천(묘지)","경기도 포천시 영중면 궁들길 84 (금주리)","031-532-6534"
"(재)경맥백합공원","경상북도 경산시 남천면 남천로 188-60 (흥산리)","053-813-6044"
"(재)한남공원묘원","경기도 광주시 매자리길 185-22 (매산동)","031-765-0076"
"(재)봉황공원묘지","전라북도 군산시 임피면 미원리 산100-1","063-453-5533"
"(재)우성공원묘원","경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)","054-933-4774"
"(재)경주공원묘원","경상북도 경주시 강동면 오금큰길 505 (왕신리)","054-763-4444"
"(재)조양공원","경상북도 칠곡군 지천면 달방길 215 (달서리)","054-972-2205"
"(재)광주구천주교공원묘원","전라남도 담양군 월산면 월광로 512 (광암리)","062-227-7124"
"(재)천주교평내공원묘원","경기도 남양주시 평내동 산45-1","02-727-2225"
"(재)신세계공원묘원","대구광역시 군위군 효령면 녹동길 129-190 (장군리)","054-382-5250"
"영종공설묘지(신규매장불가)","인천광역시 중구 운북동 132-80","032-746-1672"
"재단법인 춘천공원묘원","강원특별자치도 춘천시 신북읍 배후령길 154-18 (천전리)","033-252-4444"
"(재)학명묘원","경상북도 칠곡군 동명면 학명리 산81-1","054-972-5560"
"오창장미공원","충청북도 청주시 청원구 오창읍 양청3길 88 (양청리)","043-270-7330"
"(재)천주교세종로묘원","경기도 남양주시 별내동 산193-1","031-571-8800"
"청량리성당 다볼산묘원","경기도 양주시 산북동 산73","02-966-6761"
"천주교효천공원묘지","광주광역시 남구 임암동 산86-3","062-233-0518"
"(재)청구공원","경상북도 칠곡군 지천면 백송로 197 (백운리)","054-972-1382"
"(재)자하연분당(묘지)","경기도 광주시 대명대길 57 (능평동, 판교공원묘지)","031-719-2780"
"하다리공설공원묘지","경기도 여주시 흥천면 하다리 78-3","031-887-3884"
"(재)광주대교구 여수천주교공원묘원","전라남도 여수시 소라면 봉두리 산190-6","061-666-5004"
"(재)예다원 묘원","전라남도 여수시 소라면 운암길 6 (봉두리)","061-665-1004"
"와동꽃빛공원(공설묘지)","경기도 안산시 단원구 순환로 390 (와동)","031-481-3359"
"오산시공설공원묘지","경기도 오산시 가장동 산72-2","031-370-3226"
"이천시대월공설공원묘지(만장)","경기도 이천시 대월면 초지리 산107-1","031-644-8611"
"수동공설묘지(만장)","경기도 남양주시 수동면 운수리 400-1","031-590-4287"
"재단법인 아너스홈(구 대성공원묘원)","충청남도 계룡시 두마면 제1산단로 68 (입암리)","042-585-0536"
"화도공설묘지(만장)","경기도 남양주시 화도읍 묵현리 산151","031-590-4287"
"(재)영락교회공원묘원","경기도 남양주시 진건읍 사릉로264번길 232 (사능리, 영락동산관리실)","031-573-8123"
"이천시장호원공설공원묘지(만장)","경기도 이천시 장호원읍 방추리 산64-7","031-644-8411"
"(재)자하연팔당(묘지)","경기도 양평군 양서면 목왕로688번길 71 (목왕리)","031-772-7102"
"(재)자하연 일산(묘지)","경기도 고양시 일산동구 지영로 36-87 (지영동)","031-977-8351"
"남해추모누리 공설종합묘원","경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)","055-860-3681"
"(재)원주공원묘원","강원특별자치도 원주시 귀래면 귀문로 599 (귀래리)","033-765-0165"
"월곳리공설묘지","인천광역시 강화군 강화읍 월곳리 산8","032-930-3342"
"수산동공설묘지(매장불가)","인천광역시 남동구 수산동 산14","032-453-5522"
"황산병온공설묘지","전라남도 해남군 황산면 송호리 890","061-531-3473"
"장수동공설묘지(매장불가)","인천광역시 남동구 장수동 산133","032-453-5502"
"양택공원묘지(봉안묘)","경기도 김포시 하성면 애기봉로681번길 87-30 (양택리, 양택공원묘지)","031-980-5362"
"삼계공설묘지","경상북도 영덕군 영덕읍 삼계리 산66","054-730-7104"
"신월공설묘지(만장)","경기도 광주시 초월읍 신월리 산68","031-760-2844"
"구미시옥계공설묘지(만장)","경상북도 구미시 옥계동 산5-1","054-480-5189"
"왕길공설묘지(만장)","인천광역시 서구 왕길동 산120","032-560-4544"
"상주시공설묘지(만장)","경상북도 상주시 낙동면 신상리 산8-1","054-532-5704"
"재단법인금산공원묘원","대구광역시 군위군 효령면 점말길 23-55 (고곡리)","054-382-9623"
"김포공원법인묘지(대곶)","경기도 김포시 대곶면 상마신기로 82-58 (상마리)","031-987-2075"
"김포공원법인묘지(풍무)","경기도 김포시 장릉로 75 (풍무동)","031-984-5941"
"도하리공설묘지","경기도 양주시 은현면 도하리 산47","031-8082-7550"
"하패리공설묘지","경기도 양주시 은현면 하패리 산77","031-8082-7550"
"선암리공설묘지","경기도 양주시 은현면 선암리 산66-1","031-8082-7550"
"(재)안양공원묘원","경기도 안산시 상록구 오리골길 41 (양상동, 공동묘지관리소)","031-482-2949"
"고려공원법인묘지","경기도 김포시 감정동 629-21","031-983-8433"
"장기공설공원묘원","경상남도 고성군 동해면 장기리 산209-2","055-670-2372"
"삼하리공설묘지","경기도 양주시 장흥면 삼하리 산35","031-8082-7634"
"삼상리공설묘지","경기도 양주시 장흥면 삼상리 산34-1","031-8082-7634"
"관인면 제1공설묘지","경기도 포천시 관인면 사정리 산11","031-538-4661"
"대곡공설묘지(만장)","인천광역시 서구 대곡동 산202","032-560-4544"
"(재)대명공원묘원","경상북도 경주시 강동면 비학로 50-126 (단구리)","054-762-3810"
"북양공설공원묘지","경기도 화성시 남양읍 북양리 산109-14","031-369-3157"
"성석동공설묘지(만장)","경기도 고양시 일산동구 성석동 973-23","031-8075-3305"
"문형공설묘지(만장)","경기도 광주시 문형동 산65","031-760-2844"
"도림동공설묘지(매장불가)","인천광역시 남동구 도림동 산33","032-453-5522"
"(재)평화공원","충청남도 금산군 복수면 복수로 1015-81 (신대리)","041-752-8503"
"내유동공설묘지(만장)","경기도 고양시 덕양구 내유동 산82","031-8075-3305"
