시설명,주소,전화번호
"(재)실로암공원묘원","부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)","051-721-5115"
"(재)삼덕공원묘원","울산광역시 울주군 삼동면 삼덕로 426 (조일리, 삼덕공원관리사무소)","1522-4144"
"재단법인울산공원묘원","울산광역시 남구 문수로217번길 34 (옥동)","052-994-4004"
"진주내동공원묘원","경상남도 진주시 내동면 유수길75번길 8-214 (유수리, 진주내동공동묘원)","055-756-1500"
"신불산공원묘원","경상남도 양산시 어실로 604 (어곡동)","055-388-4567"
"(재)대지공원묘원","충청북도 음성군 생극면 오신로 504-63 (신양리)","043-878-3854"
"재단법인선산공원묘원","경상북도 구미시 옥성면 선상동로 419 (초곡리)","054-481-0409"
"재단법인 솥발산공원묘원","경상남도 양산시 하북면 삼덕로 288 (답곡리)","055-382-7714"
"재단법인 로엠(묘지)","충청남도 천안시 동남구 광덕면 광덕로 383 (신덕리)","1544-4471-"
"(재)서울공원묘원","경기도 용인시 처인구 이동면 백자로 41 (서리, 서울공원묘원사무실)","031-332-2444"
"(재)이화공원묘원","경상남도 고성군 상리면 장치로 220-107 (자은리)","055-674-0909"
"김해공원묘원","경상남도 김해시 생림대로 93-103 (삼계동, 김해공원묘원)","055-331-0823"
"파주하늘나라공원","경기도 파주시 탄현면 방촌로 581-75 (축현리, 하늘나라공원)","031-942-9018"
"목련공원묘원","강원특별자치도 철원군 서면 싸리골길 133 (자등리, 목련공원)","033-458-4444"
"(재)남양공원묘원","경상북도 성주군 선남면 관용로 401-41 (오도리)","054-932-4444"
"보령시모란공원","충청남도 보령시 성주면 만수로 693 (개화리)","041-933-5671"
"물미묘원","강원특별자치도 영월군 주천면 솔치로 240-120 (신일리)","033-370-2823"
"함양하늘공원(묘지)","경상남도 함양군 지곡면 함양로 2139-2 (마산리, 하늘공원)","055-964-0303"
"(재)하늘나라공원 포천묘원","경기도 포천시 소흘읍 부흥로 212,2층 (무봉리)","031-542-1302"
"금릉공원묘원","경상북도 김천시 봉산면 광천4길 155-200 (광천리)","054-430-0333"
"(재)경춘공원묘원","강원특별자치도 춘천시 서면 노동길 181 (안보리)","033-263-7300"
"우성공원묘원","경기도 안성시 일죽면 화곡길 158 (화곡리, 우성공원묘원)","031-672-5008"
"청파동성당 청파묘원","경기도 양주시 장흥면 호국로 8 (일영리)","031-855-5660"
"(재)화신공원묘원","전라북도 정읍시 옹동면 옹동용호길 110-76 (용호리)","063-538-4905"
"(재)풍산공원묘원","충청남도 천안시 동남구 병천면 풍산공원길 70 (봉항리, 풍산공원묘역)","041-554-4199"
"청파동성당 평화묘원","경기도 파주시 탄현면 월롱산로 503-66 (금승리)","031-942-9475"
"(재)호정공원(묘지)","전라북도 완주군 화산면 운곡로 381-64 (운곡리)","063-214-1009"
"(주)광림공원 동산공원묘원(묘지)","강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)","033-263-9446"
"(재)동산공원묘원","경상북도 포항시 남구 동해면 동해안로 5294-90 (상정리)","054-248-4444"
"유달공원묘지","전라남도 무안군 삼향읍 수련길 255 (지산리)","061-282-4437"
"(재)지평선전북공원묘원(묘지)","전라북도 김제시 금구면 선암1길 290 (선암리)","063-546-5011"
"(재)진달래문화재단","충청북도 충주시 앙성면 와평2길 84 (지당리)","043-855-4444"
"(재)석계공원묘원","경상남도 양산시 상북면 오룡길 148-45 (외석리, 석계공원묘지)","055-374-8436"
"영락공원묘원","경상남도 김해시 주촌면 서부로1637번길 546 (덕암리)","055-337-3223"
"(재)자하연포천(묘지)","경기도 포천시 영중면 궁들길 84 (금주리)","031-532-6534"
"별그리다(THE HILL)","경기도 양평군 양동면 양동금곡1길 331 (삼산리, 양평공원묘원)","031-333-1111"
"(재)경맥백합공원","경상북도 경산시 남천면 남천로 188-60 (흥산리)","053-813-6044"
"양양군공설묘원","강원특별자치도 양양군 양양읍 남대천로 251-121 (월리, 양양군공설묘원)","033-670-2163"
"(재)한남공원묘원","경기도 광주시 매자리길 185-22 (매산동)","031-765-0076"
"충주공원묘원","충청북도 충주시 두루봉길 57 (목행동)","043-853-3414"
"대정공원묘원","부산광역시 기장군 정관읍 양수길 76 (용수리, 대정공원묘원관리소)","051-728-4949"
"천주교혜화동성당 포천묘원","경기도 포천시 소흘읍 윗용상길 68 (이동교리)","031-542-1410"
"영모묘원","전라북도 익산시 왕궁면 호반로 173-45 (동봉리, 영모묘원납골당)","063-836-4311"
"광주공원묘원","경기도 광주시 매자리길 235 (매산동)","031-762-0077"
"칠량자연공원묘원","전라남도 강진군 칠량면 삼흥공원길 178-54 (삼흥리)","061-433-2011"
"(재)봉황공원묘지","전라북도 군산시 임피면 미원리 산100-1","063-453-5533"
"(재)우성공원묘원","경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)","054-933-4774"
"(재)경주공원묘원","경상북도 경주시 강동면 오금큰길 505 (왕신리)","054-763-4444"
"남한강공원묘원","경기도 여주시 가남읍 송삼로 459-35 (금곡리)","031-882-6689"
"고성군 공설묘원","강원특별자치도 고성군 죽왕면 공설묘원길 32 (가진리)","033-682-4448"
"(재)조양공원","경상북도 칠곡군 지천면 달방길 215 (달서리)","054-972-2205"
"초동교회공원묘원","경기도 안성시 삼죽면 음촌길 36-77 (배태리)","031-672-4049"
"진천군공설묘지","충청북도 진천군 진천읍 백곡로 1465-34 (장관리, 진천군공설묘지)","043-539-3868"
"(재)광주구천주교공원묘원","전라남도 담양군 월산면 월광로 512 (광암리)","062-227-7124"
"금호동성당 천보묘원(묘지)","경기도 포천시 화합로 116 (동교동)","031-541-0098"
"(재)천주교평내공원묘원","경기도 남양주시 평내동 산45-1","02-727-2225"
"재림공원묘원","경기도 포천시 소흘읍 송우로 101-16 (송우리)","031-542-1081"
"삼성개발공원묘원(묘지)","경기도 광주시 오포로 211-50 (능평동)","031-766-4260"
"(재)신세계공원묘원","대구광역시 군위군 효령면 녹동길 129-190 (장군리)","054-382-5250"
"영종공설묘지(신규매장불가)","인천광역시 중구 운북동 132-80","032-746-1672"
"재단법인 춘천공원묘원","강원특별자치도 춘천시 신북읍 배후령길 154-18 (천전리)","033-252-4444"
"신당동성당 소화묘원","경기도 남양주시 조안면 다산로 363 (능내리, 천주교신당동교회)","031-576-1461"
"(재)학명묘원","경상북도 칠곡군 동명면 학명리 산81-1","054-972-5560"
"창원공원묘원(묘지)","경상남도 창원시 마산합포구 진동면 공원묘원로 134 (인곡리)","055-271-1700"
"백란공원묘원","경기도 고양시 덕양구 내유길131번길 123 (내유동)","031-962-8391"
"애향묘지","제주특별자치도 제주시 노형동 산18-1","064-728-2563"
"평창군 공설묘지","강원특별자치도 평창군 방림면 서동로 1741-36 (방림리, 평창공원묘지)","033-339-9026"
"영동공원묘원","강원특별자치도 강릉시 강동면 율곡로 2118-45 (안인리, 영동공원관리묘원사무소)","033-645-7444"
"세종시공설묘지","세종특별자치시 전동면 전동로 539 (봉대리)","044-850-1346"
"여수시공설묘지공원","전라남도 여수시 소라면 봉두리 산190","061-685-8100"
"매화공원묘지","충청북도 청주시 상당구 가덕면 상장인차로 460 (청용리)","043-251-3560"
"김해하늘공원(묘지)","경상남도 김해시 생림면 생림대로928번길 10-91 (봉림리)","055-335-9716"
"오창장미공원","충청북도 청주시 청원구 오창읍 양청3길 88 (양청리)","043-270-7330"
"충현동산","경기도 광주시 용샘길 115-25 (목현동)","031-764-9617"
"(재)천주교세종로묘원","경기도 남양주시 별내동 산193-1","031-571-8800"
"정선하늘공원","강원특별자치도 정선군 여량면 서동로 3867-26 (남곡리, 정선하늘공원)","033-560-3437"
"청량리성당 다볼산묘원","경기도 양주시 산북동 산73","02-966-6761"
"현대공원1묘원","경상북도 칠곡군 지천면 낙산로3길 34-22 (낙산리)","053-312-1755"
"천자봉공원묘원","경상남도 창원시 진해구 진해대로 1426-48 (서중동, 천자봉공원묘원관리사무실)","055-545-8200"
