시설명,주소,전화번호
"(재)실로암공원묘원","부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)","051-721-5115"
"(재)서울공원묘원","경기도 용인시 처인구 이동면 백자로 41 (서리, 서울공원묘원사무실)","031-332-2444"
"(재)이화공원묘원","경상남도 고성군 상리면 장치로 220-107 (자은리)","055-674-0909"
"(재)하늘나라공원 포천묘원","경기도 포천시 소흘읍 부흥로 212,2층 (무봉리)","031-542-1302"
"(재)동산공원묘원","경상북도 포항시 남구 동해면 동해안로 5294-90 (상정리)","054-248-4444"
"(재)지평선전북공원묘원(묘지)","전라북도 김제시 금구면 선암1길 290 (선암리)","063-546-5011"
"(재)진달래문화재단","충청북도 충주시 앙성면 와평2길 84 (지당리)","043-855-4444"
"(재)석계공원묘원","경상남도 양산시 상북면 오룡길 148-45 (외석리, 석계공원묘지)","055-374-8436"
"(재)한남공원묘원","경기도 광주시 매자리길 185-22 (매산동)","031-765-0076"
"(재)광주구천주교공원묘원","전라남도 담양군 월산면 월광로 512 (광암리)","062-227-7124"
"(재)천주교평내공원묘원","경기도 남양주시 평내동 산45-1","02-727-2225"
"(재)신세계공원묘원","대구광역시 군위군 효령면 녹동길 129-190 (장군리)","054-382-5250"
"영종공설묘지(신규매장불가)","인천광역시 중구 운북동 132-80","032-746-1672"
"재단법인 춘천공원묘원","강원특별자치도 춘천시 신북읍 배후령길 154-18 (천전리)","033-252-4444"
"(재)천주교세종로묘원","경기도 남양주시 별내동 산193-1","031-571-8800"
"청량리성당 다볼산묘원","경기도 양주시 산북동 산73","02-966-6761"
"천주교효천공원묘지","광주광역시 남구 임암동 산86-3","062-233-0518"
"(재)청구공원","경상북도 칠곡군 지천면 백송로 197 (백운리)","054-972-1382"
"하다리공설공원묘지","경기도 여주시 흥천면 하다리 78-3","031-887-3884"
"(재)광주대교구 여수천주교공원묘원","전라남도 여수시 소라면 봉두리 산190-6","061-666-5004"
"(재)예다원 묘원","전라남도 여수시 소라면 운암길 6 (봉두리)","061-665-1004"
"이천시대월공설공원묘지(만장)","경기도 이천시 대월면 초지리 산107-1","031-644-8611"
"수동공설묘지(만장)","경기도 남양주시 수동면 운수리 400-1","031-590-4287"
"재단법인 아너스홈(구 대성공원묘원)","충청남도 계룡시 두마면 제1산단로 68 (입암리)","042-585-0536"
"화도공설묘지(만장)","경기도 남양주시 화도읍 묵현리 산151","031-590-4287"
