시설종류,순번,장례식장명,항목,품종,품명,세부내용,금액
장례식장,1,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,빈소+접객실,장례식장임대료,특1호실1일사용료,400000
장례식장,2,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,빈소+접객실,장례식장임대료,대특실1일사용료,500000
장례식장,3,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,빈소+접객실,장례식장임대료,특2호실1일사용료,300000
장례식장,4,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,빈소+접객실,장례식장임대료,특3호실1일사용료,300000
장례식장,5,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,빈소+접객실,장례식장임대료,일반실1일사용료,200000
장례식장,6,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,기타,염습료,염습비용,300000
장례식장,7,(복)대구가톨릭사회복지회논공 장례식장,시설임대료,기타,발인식장사용료,발인식장사용료,30000
장례식장,8,(복)대구가톨릭사회복지회논공 장례식장,안치실이용료,일반,안치료,안치료1일사용료,60000
장례식장,9,(복)대구가톨릭사회복지회논공 장례식장,식사,밥류,밥국(육개장)1식3찬,1인분,5000
장례식장,10,(복)대구가톨릭사회복지회논공 장례식장,식사,밥류,김치(국산),4 kg,40000
장례식장,11,(복)대구가톨릭사회복지회논공 장례식장,식사,과일류,수박(시세),10 kg,20000
장례식장,12,(복)대구가톨릭사회복지회논공 장례식장,식사,과일류,포도(시세),5 kg,25000
장례식장,13,(복)대구가톨릭사회복지회논공 장례식장,식사,과일류,방울토마토(시세),5 kg,30000
장례식장,14,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,분향제.발인제 (소),각1상,150000
장례식장,15,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,분향제(중),1상,200000
장례식장,16,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,분향제(대),1상,250000
장례식장,17,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,성복제,1상,150000
장례식장,18,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,상식,1상,40000
장례식장,19,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,평토반혼.납골제 (중),1상,200000
장례식장,20,(복)대구가톨릭사회복지회논공 장례식장,제사음식,일반,평토반혼납골제 (대),1상,250000
장례식장,21,(복)대구가톨릭사회복지회논공 장례식장,음료,콜라,콜라,캔,1200
장례식장,22,(복)대구가톨릭사회복지회논공 장례식장,음료,사이다,사이다,캔,800
