장례식장명,항목,품종,품명,세부내용,가격(원),가격(만원)
"(복)대구가톨릭사회복지회논공 장례식장","시설임대료","빈소+접객실","장례식장임대료","특1호실1일사용료",400000,40
"(복)대구가톨릭사회복지회논공 장례식장","시설임대료","빈소+접객실","장례식장임대료","대특실1일사용료",500000,50
"(복)대구가톨릭사회복지회논공 장례식장","시설임대료","빈소+접객실","장례식장임대료","특2호실1일사용료",300000,30
"(복)대구가톨릭사회복지회논공 장례식장","시설임대료","빈소+접객실","장례식장임대료","특3호실1일사용료",300000,30
"(복)대구가톨릭사회복지회논공 장례식장","시설임대료","빈소+접객실","장례식장임대료","일반실1일사용료",200000,20
"(복)대구가톨릭사회복지회논공 장례식장","안치실이용료","일반","안치료","안치료1일사용료",60000,6
"(유)금강장례식장","시설임대료","염습실/입관실","염습실","염습실사용료 (1회)",300000,30
"(유)금강장례식장","안치실이용료","일반","안치료","안치료 (1일기준)",120000,12
"(유)금강장례식장","염습/입관","일반","특수 입관비","야간입관 / 사고사",500000,50
"(유)금강장례식장","염습/입관","일반","염습비","",350000,35
"(유)금강장례식장","염습/입관","일반","자체입관","상조포함",300000,30
"(유)금강장례식장","수시/초염","일반","수시비","",200000,20
"(유)동이리장례식장","시설임대료","빈소+접객실","특   실","분향실접객실상주방2로비등 200평(1시간당)",29000,2.9
"(유)동이리장례식장","시설임대료","빈소+접객실","일반실","분향실접객실상주방1로비등 100평(1시간당)",19000,1.9
"(유)동이리장례식장","시설임대료","염습실/입관실","입관실","입관실부대시설비품등",300000,30
"(유)동이리장례식장","안치실이용료","일반","안치실","안치고 및 부대시설(1시간당)",5000,0.5
"(유)동이리장례식장","염습/입관","일반","대렴비","대렵 및 입관 - 2인",300000,30
"(유)동이리장례식장","수시/초염","일반","초렴비","초렴(수시) 및 안치-  2인",120000,12
"(유)무안병원장례식장","시설임대료","빈소+접객실","분향소및 접객실 사용료","모든호실 24시간 임대기준",400000,40
"(유)무안병원장례식장","안치실이용료","일반","안치료","1일기준",70000,7
"(유)무안병원장례식장","염습/입관","일반","염습","2인기준",300000,30
"(유)브이아이피장례타운","시설임대료","빈소+접객실","장례식장임대료(VVIP101호)","2박3일/기준 2일계산(180석)",2600000,260
"(유)브이아이피장례타운","시설임대료","빈소+접객실","장례식장임대료(VIP 502호)","2박3일/기준 2일계산(80석)",1600000,160
"(유)브이아이피장례타운","시설임대료","빈소+접객실","장례식장임대료(VIP 202302501호)","2박3일/기준 2일계산(120석)",2000000,200
"(유)브이아이피장례타운","시설임대료","빈소+접객실","장례식장임대료(VVIP 201301호)","2박3일/기준 2일계산(240석)",3000000,300
"(유)브이아이피장례타운","시설임대료","빈소+접객실","장례식장임대료(1004호)","2박3일/기준 2일계산",800000,80
"(유)브이아이피장례타운","시설임대료","염습실/입관실","입관실사용료","1회",300000,30
"(유)브이아이피장례타운","안치실이용료","일반","안치료","1일기준",100000,10
"(유)브이아이피장례타운","염습/입관","일반","염습","상가",300000,30
"(유)브이아이피장례타운","수시/초염","일반","초렴","상가",100000,10
"(유)성인천장례식장","시설임대료","빈소/분향실","분향실 및 접객실","60평(1일)",672000,67.2
"(유)성인천장례식장","시설임대료","빈소/분향실","분향실 및 접객실","60평(1일)",720000,72
"(유)성인천장례식장","시설임대료","빈소/분향실","분향실 및 접객실","80 평 (1일)",888000,88.8
"(유)성인천장례식장","시설임대료","빈소/분향실","분향실 및 접객실","100평 (1일)",1080000,108
"(유)성인천장례식장","시설임대료","빈소/분향실","분향실 및 접객실","130 평(1일)",1440000,144
"(유)성인천장례식장","시설임대료","염습실/입관실","입관실","1회",300000,30
"(유)성인천장례식장","안치실이용료","일반","안치실","1일",150000,15
"(유)신광 익산병원장례식장","시설임대료","빈소+접객실","분향실 (일반실)","시간당",18000,1.8
"(유)신광 익산병원장례식장","시설임대료","빈소+접객실","분향실(특실)","시간당",32000,3.2
"(유)신광 익산병원장례식장","시설임대료","염습실/입관실","입관실사용료","1회",300000,30
"(유)신광 익산병원장례식장","안치실이용료","일반","안치료","시간당",5000,0.5
"(유)신광 익산병원장례식장","염습/입관","일반","입관식","1회",300000,30
"(유)신광 익산병원장례식장","수시/초염","일반","초염","1회",100000,10
"(유)예수병원장례식장","시설임대료","빈소+접객실","장례식장임대료(애실)","VIP실(애실)/140평형/3일장기준:2500000",833334,83.3
"(유)예수병원장례식장","시설임대료","빈소+접객실","장례식장임대료(의실)","203호/65평형/3일장기준:700000",233334,23.3
"(유)예수병원장례식장","시설임대료","빈소+접객실","장례식장임대료(선실)","202호/100평형/3일장기준:1500000원",500000,50
"(유)예수병원장례식장","시설임대료","빈소+접객실","장례식장임대료(신실)","201호/75평형/3일장기준:850000원",283334,28.3
"(유)예수병원장례식장","시설임대료","빈소+접객실","장례식장임대료(정실)","101호/85평형/3일장기준:10000원",333334,33.3
"(유)예수병원장례식장","시설임대료","빈소+접객실","장례식장임대료(진실)","특실(진실)/110평형/3일장기준:1800000",600000,60
"(유)예수병원장례식장","안치실이용료","일반","안치실임대료","1일/24시간 기준",80000,8
"(유)예수병원장례식장","염습/입관","일반","염습비","상조/자체입관",300000,30
"(유)예수병원장례식장","염습/입관","일반","염습비","주간",300000,30
"(유)예수병원장례식장","수시/초염","일반","초렴비","초렴",150000,15
"(유)우석개발","시설임대료","빈소+접객실","빈소사용료","60평형(24시간)/일",528000,52.8
"(유)우석개발","시설임대료","빈소+접객실","빈소사용료","45평형(24시간)/일",432000,43.2
"(유)우석개발","시설임대료","빈소+접객실","빈소사용료","70평형(24시간)/일",648000,64.8
