ID,구분,시설명,주소,전화번호,사진유무,가격유무,좌표중복,인접시설,상태,사진링크,네이버지도(링크),구글지도(링크)
24,동물장례,쓰담별,서울특별시 종로구 종로 6 광화문우체국 5층,,O,X,X,,미흡 (전화,가격),"[대표](https://mediahub.seoul.go.kr/uploads/mediahub/2022/06/rijSIzlbxWxeRvyhqnfSxYQAXJBRBJBO.jpg)",https://map.naver.com/v5/search/%EC%93%B0%EB%8B%B4%EB%B3%84,https://www.google.com/maps/search/?api=1&query=%EC%93%B0%EB%8B%B4%EB%B3%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%A2%85%EB%A1%9C%206%20%EA%B4%91%ED%99%94%EB%AC%B8%EC%9A%B0%EC%B2%B4%EA%B5%AD%205%EC%B8%B5
25,동물장례,펫나잇,서울특별시 성북구 개운사길 83-13 3층 303호,,X,X,X,,미흡 (전화,사진,가격),"",https://map.naver.com/v5/search/%ED%8E%AB%EB%82%98%EC%9E%87,https://www.google.com/maps/search/?api=1&query=%ED%8E%AB%EB%82%98%EC%9E%87%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EA%B0%9C%EC%9A%B4%EC%82%AC%EA%B8%B8%2083-13%203%EC%B8%B5%20303%ED%98%B8
28,동물장례,애견장례,서울특별시 노원구 한글비석로24길 14 4층 4245호,,O,X,X,,미흡 (전화,가격),"[대표](http://imgnews.naver.net/image/5484/2020/07/17/0000052322_001_20200717172231571.jpg)",https://map.naver.com/v5/search/%EC%95%A0%EA%B2%AC%EC%9E%A5%EB%A1%80,https://www.google.com/maps/search/?api=1&query=%EC%95%A0%EA%B2%AC%EC%9E%A5%EB%A1%80%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%ED%95%9C%EA%B8%80%EB%B9%84%EC%84%9D%EB%A1%9C24%EA%B8%B8%2014%204%EC%B8%B5%204245%ED%98%B8
32,동물장례,왈펫,서울특별시 강남구 선릉로 620 4층,,O,X,X,,미흡 (전화,가격),"[대표](https://mediahub.seoul.go.kr/uploads/mediahub/2022/06/rijSIzlbxWxeRvyhqnfSxYQAXJBRBJBO.jpg)",https://map.naver.com/v5/search/%EC%99%88%ED%8E%AB,https://www.google.com/maps/search/?api=1&query=%EC%99%88%ED%8E%AB%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%84%A0%EB%A6%89%EB%A1%9C%20620%204%EC%B8%B5
34,동물장례,펫맘스톤,서울특별시 성북구 숭인로8길 80 103동 908호,,O,X,X,,미흡 (전화,가격),"[대표](http://imgnews.naver.net/image/018/2024/11/16/0005886815_005_20241116100410137.jpg)",https://map.naver.com/v5/search/%ED%8E%AB%EB%A7%98%EC%8A%A4%ED%86%A4,https://www.google.com/maps/search/?api=1&query=%ED%8E%AB%EB%A7%98%EC%8A%A4%ED%86%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EC%88%AD%EC%9D%B8%EB%A1%9C8%EA%B8%B8%2080%20103%EB%8F%99%20908%ED%98%B8
35,동물장례,펫포레스트 반려동물장례식장 경기광주점,경기도 광주시 오포안로 77 펫포레스트,1577-0996,O,X,X,,미흡 (가격),"[대표](https://places.googleapis.com/v1/places/ChIJA8V_1hNWezURj5P9Jese1CE/photos/AZLasHrV2Ju5RZxeXn9bLFgSqhgHQdoxsil8Q-0DoZ-WidR5Zj0rCYIQYJpFSMcySrltY_WlyIfbXFOGvIO0EO7cAr6Q8SXeG1xBmbG3SZMdjht56l9CS6m4HjG4k2msiCJ000LlJXk8x1T76K9NJ152Ocl9zl7vNfnv2Xiiq-jCeCZPWfLGxrKAdJPD3ImlkPh9qUe1dG6PlgmJMLiP-GGHl8eLvJYUJkCqJ8pTwbkgUAhrcGhPM_A9uqlIlgnRo1nCSVm_1EAGwmUCIoGcL76SdhNQuoIpC_lki9rDgcF202XMAA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg), [추가](https://places.googleapis.com/v1/places/ChIJA8V_1hNWezURj5P9Jese1CE/photos/AZLasHrV2Ju5RZxeXn9bLFgSqhgHQdoxsil8Q-0DoZ-WidR5Zj0rCYIQYJpFSMcySrltY_WlyIfbXFOGvIO0EO7cAr6Q8SXeG1xBmbG3SZMdjht56l9CS6m4HjG4k2msiCJ000LlJXk8x1T76K9NJ152Ocl9zl7vNfnv2Xiiq-jCeCZPWfLGxrKAdJPD3ImlkPh9qUe1dG6PlgmJMLiP-GGHl8eLvJYUJkCqJ8pTwbkgUAhrcGhPM_A9uqlIlgnRo1nCSVm_1EAGwmUCIoGcL76SdhNQuoIpC_lki9rDgcF202XMAA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg)",https://map.naver.com/v5/search/%ED%8E%AB%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EA%B4%91%EC%A3%BC%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%ED%8E%AB%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EA%B4%91%EC%A3%BC%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B4%91%EC%A3%BC%EC%8B%9C%20%EC%98%A4%ED%8F%AC%EC%95%88%EB%A1%9C%2077%20%ED%8E%AB%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8
36,동물장례,포포즈 반려동물장례식장 김포점,경기도 김포시 월곶면 애기봉로 262 포포즈 김포점,1588-2888,O,X,X,,미흡 (가격),"[대표](https://places.googleapis.com/v1/places/ChIJUSKHhbl9fDURv-Yh0LPDI1Y/photos/AZLasHqnKncA_qW2LYlM8dEC5BlqQ2AwNIEVVc4TRjmUyyhWImFuHaaMqBr7ZJiommkC8dKTuWMownE_W_c7s_V7QtxCQbGlGfWW1D_ygULTa4X3NrYn7qZwyfRZLDqXJxoqa4Sj0ZCNWQqLceNlI5JtlhKHLRKT4Tsc3W3Mgs2EtB4zOYQa5fLsJidEdAJRjkQsPvo2q-jKgJeaVgqM2dX4wxqqjLFdW_73BltzyBeQNyphTLOxje-A2cyWGVE9rld9H1omkBw-nroC_plqHb9diwUBNqnAcBaxy3y3tn9BdIPRRA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg), [추가](https://places.googleapis.com/v1/places/ChIJUSKHhbl9fDURv-Yh0LPDI1Y/photos/AZLasHqnKncA_qW2LYlM8dEC5BlqQ2AwNIEVVc4TRjmUyyhWImFuHaaMqBr7ZJiommkC8dKTuWMownE_W_c7s_V7QtxCQbGlGfWW1D_ygULTa4X3NrYn7qZwyfRZLDqXJxoqa4Sj0ZCNWQqLceNlI5JtlhKHLRKT4Tsc3W3Mgs2EtB4zOYQa5fLsJidEdAJRjkQsPvo2q-jKgJeaVgqM2dX4wxqqjLFdW_73BltzyBeQNyphTLOxje-A2cyWGVE9rld9H1omkBw-nroC_plqHb9diwUBNqnAcBaxy3y3tn9BdIPRRA/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg)",https://map.naver.com/v5/search/%ED%8F%AC%ED%8F%AC%EC%A6%88%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B9%80%ED%8F%AC%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%ED%8F%AC%ED%8F%AC%EC%A6%88%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B9%80%ED%8F%AC%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%EC%9B%94%EA%B3%B6%EB%A9%B4%20%EC%95%A0%EA%B8%B0%EB%B4%89%EB%A1%9C%20262%20%ED%8F%AC%ED%8F%AC%EC%A6%88%20%EA%B9%80%ED%8F%AC%EC%A0%90
37,동물장례,21그램 반려동물장례식장 경기광주1호점,경기도 광주시 매자리길 185-35,1688-1240,O,X,X,,미흡 (가격),"[대표](https://places.googleapis.com/v1/places/ChIJ_0AbYrClfDUR8Ruk-Qt0qTI/photos/AZLasHoPyCfWwlx4pyCxnYg5eNvd-Uq6w4ZJj66RJqpOjmM-_LVW5BTXqw-rKJHL9a98J9qqN2qr2D6ARqwsAsjGXKzcUy-ts0VX8NaG0zLqlJ6stAgyi2MSwo30AGPqTa1m4-7VD622QLvxZgY-6Ofu3RjK0_NWqhzGVvU7TPRGd2pKwnk2d8rzxot4N4sXaATH-2pl7rgphp6n-ZEPoKedNy1H_Dxij0DPEFRHP1VDJWwi9vFbJI7aeQuY8BszE9Hjdfl4IGP6mMc2e7E6zRQf091MsgrvR652fR5Y_0XT4Xa8sw/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg), [추가](https://places.googleapis.com/v1/places/ChIJ_0AbYrClfDUR8Ruk-Qt0qTI/photos/AZLasHoPyCfWwlx4pyCxnYg5eNvd-Uq6w4ZJj66RJqpOjmM-_LVW5BTXqw-rKJHL9a98J9qqN2qr2D6ARqwsAsjGXKzcUy-ts0VX8NaG0zLqlJ6stAgyi2MSwo30AGPqTa1m4-7VD622QLvxZgY-6Ofu3RjK0_NWqhzGVvU7TPRGd2pKwnk2d8rzxot4N4sXaATH-2pl7rgphp6n-ZEPoKedNy1H_Dxij0DPEFRHP1VDJWwi9vFbJI7aeQuY8BszE9Hjdfl4IGP6mMc2e7E6zRQf091MsgrvR652fR5Y_0XT4Xa8sw/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg)",https://map.naver.com/v5/search/21%EA%B7%B8%EB%9E%A8%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EA%B4%91%EC%A3%BC1%ED%98%B8%EC%A0%90,https://www.google.com/maps/search/?api=1&query=21%EA%B7%B8%EB%9E%A8%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EA%B4%91%EC%A3%BC1%ED%98%B8%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B4%91%EC%A3%BC%EC%8B%9C%20%EB%A7%A4%EC%9E%90%EB%A6%AC%EA%B8%B8%20185-35
38,동물장례,리멤버 반려동물장례식장,경기도 용인시 처인구 남사읍 원암로 535,080-200-5004,O,X,X,,미흡 (가격),"[대표](https://places.googleapis.com/v1/places/ChIJYfQWNqJJezURTdWCK4FsvQA/photos/AZLasHpYnP03qLn_xKln-OJeYw3RP5CBqVus1BziJ9pnZm6vHMe3vWiU_RJr6ey3msLmBeJoCHFko0tU2bwcj0rczesAIjjsHfkzxdzAjKy8XW0zl3NpNzjGgnXuf-dMLXbQidyEafYrVxD7lESNTzl3m983qsMppXo3o28jLNPPdAFaUGSofd3dj8j5zgAe8KHxOcWDEmZtq8Q1HnnYVD7oTYln9U72H7KMyryc5EOmSS9r4HxJ5SDHZz3Z6Xf9-Dl4ZsxQH9obGwzxQmaQclecpQEBqiap-Lw7iK2AgyZkbF5rBQ/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg), [추가](https://places.googleapis.com/v1/places/ChIJYfQWNqJJezURTdWCK4FsvQA/photos/AZLasHpYnP03qLn_xKln-OJeYw3RP5CBqVus1BziJ9pnZm6vHMe3vWiU_RJr6ey3msLmBeJoCHFko0tU2bwcj0rczesAIjjsHfkzxdzAjKy8XW0zl3NpNzjGgnXuf-dMLXbQidyEafYrVxD7lESNTzl3m983qsMppXo3o28jLNPPdAFaUGSofd3dj8j5zgAe8KHxOcWDEmZtq8Q1HnnYVD7oTYln9U72H7KMyryc5EOmSS9r4HxJ5SDHZz3Z6Xf9-Dl4ZsxQH9obGwzxQmaQclecpQEBqiap-Lw7iK2AgyZkbF5rBQ/media?maxHeightPx=800&maxWidthPx=800&key=AIzaSyBS18mDdul10bgKMyu15WPpevY1Y_jZBTg)",https://map.naver.com/v5/search/%EB%A6%AC%EB%A9%A4%EB%B2%84%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5,https://www.google.com/maps/search/?api=1&query=%EB%A6%AC%EB%A9%A4%EB%B2%84%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EC%9E%A5%EB%A1%80%EC%8B%9D%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%B2%98%EC%9D%B8%EA%B5%AC%20%EB%82%A8%EC%82%AC%EC%9D%8D%20%EC%9B%90%EC%95%94%EB%A1%9C%20535
39,동물장례,펫바라기 일산점,경기도 고양시 일산동구 은마길63번길 25-2 펫바라기,,O,X,X,,미흡 (전화,가격),"[대표](https://ldb-phinf.pstatic.net/20200103_235/1578041430562UW1CI_JPEG/Jtf9xmdr3mBf9QcyXKLmm2-r.JPG.jpg)",https://map.naver.com/v5/search/%ED%8E%AB%EB%B0%94%EB%9D%BC%EA%B8%B0%20%EC%9D%BC%EC%82%B0%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%ED%8E%AB%EB%B0%94%EB%9D%BC%EA%B8%B0%20%EC%9D%BC%EC%82%B0%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EC%9D%BC%EC%82%B0%EB%8F%99%EA%B5%AC%20%EC%9D%80%EB%A7%88%EA%B8%B863%EB%B2%88%EA%B8%B8%2025-2%20%ED%8E%AB%EB%B0%94%EB%9D%BC%EA%B8%B0
