ID,시설명,실패사유,작업구분
12,"부산광역시 해운대구 부산 연안 해양장",검색 안됨,명칭/주소/전화 동기화
13,"경상북도 경주시 서라벌공원묘원 (불교)",검색 안됨,명칭/주소/전화 동기화
14,"경기도 김포시 무지개추모공원",검색 안됨,명칭/주소/전화 동기화
20,"경기도 부천시 약사사 추모관 (불교)",검색 안됨,명칭/주소/전화 동기화
88,"--------",검색 안됨,명칭/주소/전화 동기화
104,"주식회사 헤븐앤어스",유사도 낮음,명칭/주소/전화 동기화
169,"정선군사북장례식장",유사도 낮음,명칭/주소/전화 동기화
174,"경상남도 함안군 시영의료재단 영동병원장례식장",검색 안됨,명칭/주소/전화 동기화
175,"경상북도 영주시 명품병원장례문화원",검색 안됨,명칭/주소/전화 동기화
176,"광주광역시 북구 그린장례문화원주식회사",검색 안됨,명칭/주소/전화 동기화
177,"광주광역시 서구 (주)광주국빈장례문화원",검색 안됨,명칭/주소/전화 동기화
178,"대구광역시 중구 계산성당 연도실",검색 안됨,명칭/주소/전화 동기화
180,"인천광역시 미추홀구 학교법인영산학원시민장례식장",검색 안됨,명칭/주소/전화 동기화
205,"전라북도 군산시 (유)은파장례문화원",검색 안됨,명칭/주소/전화 동기화
223,"경상남도 고성군 고성장례식장화라주식회사",검색 안됨,명칭/주소/전화 동기화
225,"경상북도 의성군 의성성심요양병원장례식장",검색 안됨,명칭/주소/전화 동기화
226,"영주적십자병원장례식장",유사도 낮음,명칭/주소/전화 동기화
238,"경기도 파주시 파주하늘나라공원",검색 안됨,명칭/주소/전화 동기화
245,"경기도 양주시 청파동성당 청파묘원",검색 안됨,명칭/주소/전화 동기화
247,"(주)광림공원 동산공원묘원(묘지)",유사도 낮음,명칭/주소/전화 동기화
289,"경기도 여주시 처리공원묘지",검색 안됨,명칭/주소/전화 동기화
309,"경기도 파주시 중림동성당묘원",검색 안됨,명칭/주소/전화 동기화
311,"인천광역시 서구 양우회",검색 안됨,명칭/주소/전화 동기화
398,"구리시공설묘지",유사도 낮음,명칭/주소/전화 동기화
417,"경상북도 성주군 성주군공설묘지",검색 안됨,명칭/주소/전화 동기화
433,"경기도 포천시 내촌면 제2공설묘지",검색 안됨,명칭/주소/전화 동기화
446,"경기도 포천시 영북면 제1공설묘지",검색 안됨,명칭/주소/전화 동기화
569,"신현교회 묘지",유사도 낮음,명칭/주소/전화 동기화
571,"신광교회 묘지",유사도 낮음,명칭/주소/전화 동기화
573,"울산광역시 울주군 (재)삼덕공원묘원",검색 안됨,명칭/주소/전화 동기화
574,"울산광역시 남구 재단법인울산공원묘원",검색 안됨,명칭/주소/전화 동기화
575,"충청북도 음성군 (재)대지공원묘원",검색 안됨,명칭/주소/전화 동기화
576,"경상북도 구미시 재단법인선산공원묘원",검색 안됨,명칭/주소/전화 동기화
577,"경상남도 양산시 재단법인 솥발산공원묘원",검색 안됨,명칭/주소/전화 동기화
578,"충청남도 천안시 재단법인 로엠(묘지)",검색 안됨,명칭/주소/전화 동기화
579,"경상북도 성주군 (재)남양공원묘원",검색 안됨,명칭/주소/전화 동기화
580,"강원특별자치도 춘천시 (재)경춘공원묘원",검색 안됨,명칭/주소/전화 동기화
581,"전라북도 정읍시 (재)화신공원묘원",검색 안됨,명칭/주소/전화 동기화
582,"충청남도 천안시 (재)풍산공원묘원",검색 안됨,명칭/주소/전화 동기화
583,"전라북도 완주군 (재)호정공원(묘지)",검색 안됨,명칭/주소/전화 동기화
585,"경기도 포천시 (재)자하연포천(묘지)",검색 안됨,명칭/주소/전화 동기화
586,"경상북도 경산시 (재)경맥백합공원",검색 안됨,명칭/주소/전화 동기화
587,"전라북도 군산시 (재)봉황공원묘지",검색 안됨,명칭/주소/전화 동기화
588,"경상북도 성주군 (재)우성공원묘원",검색 안됨,명칭/주소/전화 동기화
589,"경상북도 경주시 (재)경주공원묘원",검색 안됨,명칭/주소/전화 동기화
590,"경상북도 칠곡군 (재)조양공원",검색 안됨,명칭/주소/전화 동기화
591,"경상북도 칠곡군 (재)학명묘원",검색 안됨,명칭/주소/전화 동기화
592,"충청북도 청주시 오창장미공원",검색 안됨,명칭/주소/전화 동기화
594,"경기도 안산시 와동꽃빛공원(공설묘지)",검색 안됨,명칭/주소/전화 동기화
595,"경기도 오산시 오산시공설공원묘지",검색 안됨,명칭/주소/전화 동기화
596,"경기도 양평군 (재)자하연팔당(묘지)",검색 안됨,명칭/주소/전화 동기화
597,"경상남도 남해군 남해추모누리 공설종합묘원",검색 안됨,명칭/주소/전화 동기화
598,"강원특별자치도 원주시 (재)원주공원묘원",검색 안됨,명칭/주소/전화 동기화
599,"인천광역시 강화군 월곳리공설묘지",검색 안됨,명칭/주소/전화 동기화
600,"경상북도 영덕군 삼계공설묘지",검색 안됨,명칭/주소/전화 동기화
601,"경기도 김포시 김포공원법인묘지(풍무)",검색 안됨,명칭/주소/전화 동기화
602,"경기도 양주시 도하리공설묘지",검색 안됨,명칭/주소/전화 동기화
603,"경기도 양주시 하패리공설묘지",검색 안됨,명칭/주소/전화 동기화
604,"경기도 양주시 선암리공설묘지",검색 안됨,명칭/주소/전화 동기화
605,"경기도 김포시 고려공원법인묘지",검색 안됨,명칭/주소/전화 동기화
606,"경상남도 고성군 장기공설공원묘원",검색 안됨,명칭/주소/전화 동기화
607,"경기도 양주시 삼하리공설묘지",검색 안됨,명칭/주소/전화 동기화
608,"경기도 양주시 삼상리공설묘지",검색 안됨,명칭/주소/전화 동기화
609,"경기도 포천시 관인면 제1공설묘지",검색 안됨,명칭/주소/전화 동기화
610,"경기도 화성시 북양공설공원묘지",검색 안됨,명칭/주소/전화 동기화
611,"경기도 포천시 신북면 제6공설묘지",검색 안됨,명칭/주소/전화 동기화
613,"경기도 포천시 신북면 제4공설묘지",검색 안됨,명칭/주소/전화 동기화
614,"전라남도 나주시 동강면공설묘지",검색 안됨,명칭/주소/전화 동기화
615,"인천광역시 강화군 두운리공동묘지",검색 안됨,명칭/주소/전화 동기화
616,"전라남도 나주시 문평면공설묘지",검색 안됨,명칭/주소/전화 동기화
617,"전라남도 나주시 반남면공설묘지",검색 안됨,명칭/주소/전화 동기화
618,"전라남도 보성군 보성공설묘지",검색 안됨,명칭/주소/전화 동기화
619,"전라남도 나주시 봉황면공설묘지",검색 안됨,명칭/주소/전화 동기화
620,"인천광역시 강화군 덕하2리공설묘지",검색 안됨,명칭/주소/전화 동기화
621,"전라남도 나주시 공산면공설묘지",검색 안됨,명칭/주소/전화 동기화
622,"전라남도 나주시 금남동공설묘지",검색 안됨,명칭/주소/전화 동기화
623,"경기도 남양주시 내곡리묘지",검색 안됨,명칭/주소/전화 동기화
626,"전라남도 나주시 세지면공설묘지",검색 안됨,명칭/주소/전화 동기화
627,"전라남도 나주시 왕곡면공설묘지",검색 안됨,명칭/주소/전화 동기화
629,"전라남도 나주시 영강동공설묘지",검색 안됨,명칭/주소/전화 동기화
630,"전라남도 나주시 이창동공설묘지",검색 안됨,명칭/주소/전화 동기화
631,"전라북도 진안군 (재)전주공원묘원",검색 안됨,명칭/주소/전화 동기화
632,"서울특별시 도봉구 혜화동성당 방학동묘원",검색 안됨,명칭/주소/전화 동기화
633,"전라북도 군산시 (재)성산공원(묘지)",검색 안됨,명칭/주소/전화 동기화
634,"경기도 김포시 김포성당 매괴의모후 묘원",검색 안됨,명칭/주소/전화 동기화
635,"전라남도 광양시 광양시립영세공원 묘지",검색 안됨,명칭/주소/전화 동기화
637,"전라남도 영암군 영암군군서공설묘지",검색 안됨,명칭/주소/전화 동기화
640,"경기 파주시 청암교회(청암동산)",검색 안됨,명칭/주소/전화 동기화
651,"부산광역시 기장군 메모리얼펠리스추모관(실로암)",검색 안됨,명칭/주소/전화 동기화
653,"(주)광림공원 동산공원묘원(봉안)",유사도 낮음,명칭/주소/전화 동기화
656,"경기도 이천시 재단법인 에덴낙원",검색 안됨,명칭/주소/전화 동기화
658,"경상북도 문경시 약사사 하늘재추모원",검색 안됨,명칭/주소/전화 동기화
659,"경상북도 경주시 (재)영호공원",검색 안됨,명칭/주소/전화 동기화
660,"대원사 봉안당",유사도 낮음,명칭/주소/전화 동기화
672,"화엄사",유사도 낮음,명칭/주소/전화 동기화
674,"전라남도 구례군 재단법인 세심사하늘공원",검색 안됨,명칭/주소/전화 동기화
679,"서울특별시 관악구 대한불교조계종관음사",검색 안됨,명칭/주소/전화 동기화
688,"경기도 파주시 (재)서현추모공원",검색 안됨,명칭/주소/전화 동기화
