ID,구분,시설명,주소,전화번호
12,sea,"부산 연안 해양장","부산광역시 해운대구 달맞이길 62","051-744-1004"
88,장례식장,"--------","------","----------"
174,장례식장,"시영의료재단 영동병원장례식장","경상남도 함안군 칠원읍 용산2길 45-13 (용산리, 병원)","055-587-4447"
175,장례식장,"명품병원장례문화원","경상북도 영주시 반지미로 260 (가흥동)","054-634-1444"
178,장례식장,"계산성당 연도실","대구광역시 중구 서성로 10 (계산동2가, 천주교계산천주교회)","053-256-2046"
180,장례식장,"학교법인영산학원시민장례식장","인천광역시 미추홀구 석정로64번길 22 (숭의동, 시민장례식장)","032-889-4644"
223,장례식장,"고성장례식장화라주식회사","경상남도 고성군 고성읍 상정대로 390 (교사리)","055-672-5000"
592,추모공원,"오창장미공원","충청북도 청주시 청원구 오창읍 양청3길 88 (양청리)","043-270-7330"
595,추모공원,"오산시공설공원묘지","경기도 오산시 가장동 산72-2","031-370-3226"
597,추모공원,"남해추모누리 공설종합묘원","경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)","055-860-3681"
599,추모공원,"월곳리공설묘지","인천광역시 강화군 강화읍 월곳리 산8","032-930-3342"
600,추모공원,"삼계공설묘지","경상북도 영덕군 영덕읍 삼계리 산66","054-730-7104"
601,추모공원,"김포공원법인묘지(풍무)","경기도 김포시 장릉로 75 (풍무동)","031-984-5941"
602,추모공원,"도하리공설묘지","경기도 양주시 은현면 도하리 산47","031-8082-7550"
603,추모공원,"하패리공설묘지","경기도 양주시 은현면 하패리 산77","031-8082-7550"
604,추모공원,"선암리공설묘지","경기도 양주시 은현면 선암리 산66-1","031-8082-7550"
605,추모공원,"고려공원법인묘지","경기도 김포시 감정동 629-21","031-983-8433"
606,추모공원,"장기공설공원묘원","경상남도 고성군 동해면 장기리 산209-2","055-670-2372"
607,추모공원,"삼하리공설묘지","경기도 양주시 장흥면 삼하리 산35","031-8082-7634"
608,추모공원,"삼상리공설묘지","경기도 양주시 장흥면 삼상리 산34-1","031-8082-7634"
609,추모공원,"관인면 제1공설묘지","경기도 포천시 관인면 사정리 산11","031-538-4661"
610,추모공원,"북양공설공원묘지","경기도 화성시 남양읍 북양리 산109-14","031-369-3157"
611,추모공원,"신북면 제6공설묘지","경기도 포천시 신북면 삼정리 산179","031-538-4361"
613,추모공원,"신북면 제4공설묘지","경기도 포천시 신북면 고일리 산83","031-538-4361"
614,추모공원,"동강면공설묘지","전라남도 나주시 동강면 월양리 15-11","061-339-3538"
615,추모공원,"두운리공동묘지","인천광역시 강화군 불은면 두운리 산243","032-937-5301"
616,추모공원,"문평면공설묘지","전라남도 나주시 문평면 북동리 산119-3","061-339-8474"
617,추모공원,"반남면공설묘지","전라남도 나주시 반남면 흥덕리 302-33","061-339-3658"
618,추모공원,"보성공설묘지","전라남도 보성군 보성읍 대야리 1644-1","061-850-5614"
619,추모공원,"봉황면공설묘지","전라남도 나주시 봉황면 철천리 산132","061-339-8473"
620,추모공원,"덕하2리공설묘지","인천광역시 강화군 양사면 덕하리 산352","032-934-2183"
621,추모공원,"공산면공설묘지","전라남도 나주시 공산면 금곡리 317-3","061-339-3686"
622,추모공원,"금남동공설묘지","전라남도 나주시 보산동 산3","061-339-8475"
623,추모공원,"내곡리묘지","경기도 남양주시 진접읍 내곡리 558-3","02-434-3337"
626,추모공원,"세지면공설묘지","전라남도 나주시 세지면 대산리 산108","061-339-3621"
627,추모공원,"왕곡면공설묘지","전라남도 나주시 왕곡면 덕산리 산74","061-339-3639"
629,추모공원,"영강동공설묘지","전라남도 나주시 안창동 97","061-339-8473"
630,추모공원,"이창동공설묘지","전라남도 나주시 이창동 산19-1","061-339-8474"
632,추모공원,"혜화동성당 방학동묘원","서울특별시 도봉구 방학동 산65-1","02-764-0221"
634,추모공원,"김포성당 매괴의모후 묘원","경기도 김포시 북변로 29-12 (북변동)","031-983-8811"
635,추모공원,"광양시립영세공원 묘지","전라남도 광양시 광양읍 직동1길 300 (죽림리)","061-762-4449"
637,추모공원,"영암군군서공설묘지","전라남도 영암군 군서면 동구림리 산42","061-470-2647"
651,봉안당,"메모리얼펠리스추모관(실로암)","부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)","051-722-5115"
697,봉안당,"쌍용사 봉안당","경상북도 문경시 농암면 칠봉로 755 (율수리, 쌍용사)","054-541-6753"
702,봉안당,"용주사 봉안당","경상북도 경주시 서면 하늘마루길 328 (도리)","054-753-5678"
707,봉안당,"성모암영락원","전라북도 김제시 만경읍 화포3길 54-9 (화포리)","063-544-0416"
711,봉안당,"약천추모공원","경기도 평택시 도일로 164-118 (도일동)","031-683-3939"
731,봉안당,"구미시공설숭조당 제1관","경상북도 구미시 옥성면 선상동로 419 (초곡리)","054-481-0572"
732,봉안당,"논산시양지추모원","충청남도 논산시 양촌면 중산길 165-11 (중산리)","041-741-7158"
737,봉안당,"하늘원추모관","강원특별자치도 원주시 흥업면 사제로 539 (사제리, 하늘원장례예식장)","033-763-4444"
753,봉안당,"옥천군봉안당 선화원","충청북도 옥천군 군서면 성왕로 982 (월전리)","043-733-4404"
754,봉안당,"남원시승화당","전라북도 남원시 솔터길 40-36 (광치동, 승화원)","063-632-5874"
