fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),fac_update,convenient src (4),convenient src (5)
사설,https://15774129.go.kr/BCUser/facilitypic/1562735713358_7000000948_0.jpg,분당추모공원휴,경기도 광주시 오포읍 오포로 211-49 (능평리),tel:031-762-3000,031-762-3000,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/1483083051035_7000000641_0.JPG,정토사 극락원,"울산광역시 남구 문수로217번길 15 (옥동, 정토사)",tel:052-212-7000,052-212-7000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,8개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/3000000242/1708479964030.PNG,해인사 고불암무량수전,경상남도 거창군 가북면 용암리 2184,tel:055-934-0127,055-934-0127,,,,3개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002808/1724742028048.PNG,재단법인 일산장안추모공원,경기도 고양시 일산동구 백마로502번길 64-13 (풍동),tel:031-903-6650,031-903-6650,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,15개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1553843757706_7000001803_0.jpg,대한불교관음회조계종 백천사 봉안당,"경상남도 사천시 백천길 326-2 (백천동, 백천사)",tel:055-834-4010,055-834-4010,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001584/1707809960087.PNG,(재)성산공원 추모관,"전라북도 군산시 성산면 왕골로 239-29 (대명리, 성산공원)",tel:063-453-5510,063-453-5510,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/1600221699907_3000000085_0.JPG,에덴추모공원,경기도 남양주시 화도읍 수레로964번길 113-13 (차산리),tel:031-572-0001,031-572-0001,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,28개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001560/1707807951433.PNG,팔공산도림사추모공원,대구광역시 동구 인산로 264 (진인동),tel:053-986-1001,053-986-1001,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,6개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000000857/1465801430680.jpg,파주추모공원 봉안당,경기도 파주시 파주읍 약수골길 67 (연풍리),tel:031-954-1444,031-954-1444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,12개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002256/1707807892970.PNG,(재)유명추모공원,충청남도 홍성군 금마면 금마로516번길 64-22 (봉서리),tel:041-631-9971,041-631-9971,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,23개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002559/1720163122331.jpg,양평추모공원 더포레,경기도 양평군 청운면 벗고갯길 45-20 (가현리),tel:031-774-4415,031-774-4415,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,11개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/1724976549215.jpg,수불사추모공원,"경기도 연천군 청산면 전영로215번길 153-16, 수불사추모공원",tel:031-832-6222,031-832-6222,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,15개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/1469750644608_7000001030_0.jpg,(재)용인추모원,"경기도 용인시 기흥구 중부대로 972 (상하동, 재단법인용인추모원)",tel:031-283-1601,031-283-1601,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,79개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1701737222573.png,연천동막골추모관,경기도 연천군 연천읍 동막로 109-29 (동막리),tel:031-834-6560,031-834-6560,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,13개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002824/1729659081822.PNG,대덕스카이캐슬 추모관,전라남도 담양군 대덕면 문학리 산 105,tel:061-938-9830,061-938-9830,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,5개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002457/1707808019889.PNG,마라나타하늘정원,"경기도 가평군 가평읍 호반로 2424-22 (달전리, 오륜비전빌리지)",tel:02-6413-1764,02-6413-1764,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,62개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1599725716681_7000001082_0.jpg,천국의계단추모관(재단법인천국),"전라남도 무안군 일로읍 죽사동길 179-126 (지장리, 천국의계단추모관)",tel:061-281-8661,061-281-8661,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,64개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001737/1707808090110.PNG,그린피아추모공원,전라북도 전주시 완산구 쑥고개옛길 51 (삼천동3가),tel:063-237-1009,063-237-1009,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,81개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
