시설명,주소,전화번호,출처파일
"나진장례식장","대전광역시 서구 갈마로 122 (괴정동)","042-520-6690","15774129-2025-12-23 대전.csv"
"쉴낙원 홍천장례문화원","강원도 홍천군 홍천읍 설악로 2374 (와동리)","033-434-7788","15774129-2025-12-23강원도.csv"
"양구군장례식장","강원도 양구군 양구읍 금강산로 518-25 (하리)","033-480-2576","15774129-2025-12-23강원도.csv"
"김화장례문화원","강원특별자치도 철원군 서면 와수로 13 (와수리)","033-458-0010","15774129-2025-12-23강원도.csv"
"횡성삼성병원장례식장","강원특별자치도 횡성군 횡성읍 삼일로81번길 40 (읍하리, 횡성삼성병원)","033-342-4444","15774129-2025-12-23강원도.csv"
"횡성장례문화센터","강원특별자치도 횡성군 횡성읍 학오로 56 (학곡리, 횡성군학곡1리장례식장)","033-344-4449","15774129-2025-12-23강원도.csv"
"철원장례문화원","강원도 철원군 동송읍 금학로157번길 23-17 (이평리)","033-456-4444","15774129-2025-12-23강원도.csv"
"정선군사북장례식장","강원도 정선군 사북읍 지장천로 727,정선군사북장례식장 (사북리, 정선군립병원)","033-592-4449","15774129-2025-12-23강원도.csv"
"대성장례센터","강원특별자치도 횡성군 횡성읍 횡성로 273 (입석리, 장례식장)","033-343-1444","15774129-2025-12-23강원도.csv"
"양양장례문화원","강원특별자치도 양양군 양양읍 양양로 9-1 (연창리)","033-671-0404","15774129-2025-12-23강원도.csv"
"동해병원장례식장","강원도 동해시 하평로 11 (평릉동, 산재의료관리원동해병원)","033-535-3001","15774129-2025-12-23강원도.csv"
"샘안양병원장례식장","경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)","031-467-9114","15774129-2025-12-23경기도.csv"
"의정부성모장례식장","경기도 의정부시 천보로 271 (금오동, 의정부성모병원)","031-820-3468","15774129-2025-12-23경기도.csv"
"오포장례식장","경기도 광주시 오포읍 오포로 225-7 (능평리)","031-797-0444","15774129-2025-12-23경기도.csv"
"(주)코스모스제일장례식장","경기도 안산시 상록구 수인로 1222 (일동)","031-406-2000","15774129-2025-12-23경기도.csv"
"일산백장례서비스(주)","경기도 고양시 일산서구 주화로 170,일산백병원B2층 (대화동)","031-910-7444","15774129-2025-12-23경기도.csv"
"교원예움 화성장례식장","경기도 화성시 마도면 쌍송북로 111 (두곡리)","031-355-8000","15774129-2025-12-23경기도.csv"
"오산장례문화원","경기도 오산시 경기동로 125 (부산동)","031-375-1100","15774129-2025-12-23경기도.csv"
"안산시민장례문화원","경기도 안산시 단원구 원곡공원로 11-9 (원곡동)","031-495-4000","15774129-2025-12-23경기도.csv"
"안산온누리병원장례식장","경기도 안산시 단원구 선부로 201 (선부동)","031-487-4444","15774129-2025-12-23경기도.csv"
"양서농협장례문화원","경기도 양평군 양서면 두물머리길 24 (양수리)","031-771-1900","15774129-2025-12-23경기도.csv"
"백년장례문화원","경기도 남양주시 마치로 90 (호평동)","031-594-4444","15774129-2025-12-23경기도.csv"
"주식회사 헤븐앤어스","경기도 고양시 덕양구 화수로14번길 55,명지병원B1층 (화정동)","031-810-5444","15774129-2025-12-23경기도.csv"
"안중장례문화센타","경기도 평택시 안중읍 서동대로 1931-11 (금곡리, 안중백병원)","031-683-4440","15774129-2025-12-23경기도.csv"
"포천장례문화원(주)","경기도 포천시 호국로 908-13 (설운동)","031-541-4144","15774129-2025-12-23경기도.csv"
"봉담장례문화원","경기도 화성시 봉담읍 서봉산길 40 (유리)","031-278-0404","15774129-2025-12-23경기도.csv"
"시흥장례원","경기도 시흥시 서해안로 586 (정왕동)","031-434-4114","15774129-2025-12-23경기도.csv"
"국민건강보험공단일산병원장례식장","경기도 고양시 일산동구 일산로 100 (백석동, 국민건강보험공단일산병원)","031-900-0444","15774129-2025-12-23경기도.csv"
"효원장례문화센타","경기도 화성시 정조로 107 (반정동)","031-222-0999","15774129-2025-12-23경기도.csv"
"한림대동탄성심병원장례식장","경기도 화성시 큰재봉길 7 (석우동, 한림대학교동탄성심병원)","031-8003-4410","15774129-2025-12-23경기도.csv"
"회천농협장례문화원","경기도 양주시 평화로 1861 (회정동)","031-864-4444","15774129-2025-12-23경기도.csv"
"수원덕산병원장례식장","경기도 수원시 권선구 서부로 1670번길 9 B2층 장례식장 (고색동)","031-686-2900","15774129-2025-12-23경기도.csv"
"여주시민장례문화원","경기도 여주시 칠산길 28-8 (상동)","031-882-1000","15774129-2025-12-23경기도.csv"
"양수삼성장례식장","경기도 양평군 양서면 양수로 149-2 (양수리, 양수삼성요양병원)","031-771-4447","15774129-2025-12-23경기도.csv"
"화성현대장례문화원","경기도 화성시 우정읍 남양만로 662,지하1층 (이화리, 이화병원)","031-351-6011","15774129-2025-12-23경기도.csv"
"금강산장례문화원","경기도 포천시 일동면 금강로 4641 (수입리)","031-534-4442","15774129-2025-12-23경기도.csv"
"남양주혜성병원장례식장","경기도 남양주시 경춘로1308번길 4,B1층 (평내동)","031-594-4442","15774129-2025-12-23경기도.csv"
"동두천중앙성모장례식장","경기도 동두천시 동광로 53 (생연동)","031-862-4949","15774129-2025-12-23경기도.csv"
"가평연새장례식장","경기도 가평군 청평면 경춘로 1219 (상천리)","031-585-6700","15774129-2025-12-23경기도.csv"
"경기도의료원 포천병원장례식장","경기도 포천시 포천로 1648 (신읍동)","031-539-9446","15774129-2025-12-23경기도.csv"
"뉴대성병원장례식장(구 DS병원장례식장)","경기도 부천시 원미구 부흥로 377뉴대성병원장례식장 (심곡동, DS병원)","032-666-1002","15774129-2025-12-23경기도.csv"
"효병원장례식장","경기도 양평군 용문면 다문북길 16 (다문리)","031-774-4461","15774129-2025-12-23경기도.csv"
"양평병원장례식장","경기도 양평군 양평읍 중앙로 129 (공흥리)","031-775-4444","15774129-2025-12-23경기도.csv"
"용문장례식장","경기도 양평군 용문면 경강로 3303 (광탄리)","031-773-4321","15774129-2025-12-23경기도.csv"
"가평군농협효문화센터","경기도 가평군 가평읍 경춘로 1775 (상색리)","031-581-4442","15774129-2025-12-23경기도.csv"
"원당연세장례식장","경기도 고양시 덕양구 고양대로 1359 (성사동)","031-966-4444","15774129-2025-12-23경기도.csv"
"별그리다(사담재)","경기도 양평군 양동면 양동금곡1길 331 (삼산리, 양평공원묘원)","031-333-1111","15774129-2025-12-23경기도.csv"
"여주 국빈 장례식장","경기도 여주시 여양로 388-13 (오학동)","031-885-4400","15774129-2025-12-23경기도.csv"
"양평장례식장","경기도 양평군 양평읍 중앙로111번길 52 (공흥리)","031-772-1024","15774129-2025-12-23경기도.csv"
"자미원스카이장례식장","경기도 의정부시 호국로 1342.9,10층 (의정부동, 의정부요양병원)","031-840-4444","15774129-2025-12-23경기도.csv"
"용인시민장례문화원","경기도 용인시 처인구 양지면 중부대로 1978-24 (남곡리, 용인시민장례문화원)","031-334-4444","15774129-2025-12-23경기도.csv"
"양주장례문화원","경기도 양주시 평화로1357번길 8 (덕계동)","031-863-4444","15774129-2025-12-23경기도.csv"
"큰길장례문화원","경기도 양주시 광적면 부흥로 955-13(가납리)","031-872-4444","15774129-2025-12-23경기도.csv"
