fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),fac_update,convenient src (4),convenient src (5)
사설,https://15774129.go.kr/BCUser/facilitypic/1468312924477_1000000053_0.jpg,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",tel:055-750-8448,055-750-8448,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,6개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/1642493532503.JPG,보람상조개발(주)양산부산대병원장례식장,경상남도 양산시 물금읍 금오로 20 (양산부산대학교병원 장례식장),tel:055-372-4447,055-372-4447,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1421819769620_1000000723_0.JPG,대우병원장례식장,"경상남도 거제시 두모길 16 (두모동, 대우병원)",tel:055-680-8444,055-680-8444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1474939320192_7000001460_0.jpg,창원경상대학교병원장례식장,경상남도 창원시 성산구 삼정자로 9 (성주동),tel:055-214-1900,055-214-1900,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1443220208980_7000000901_0.jpg,맑은샘병원장례식장,"경상남도 거제시 연초면 거제대로 4477 (연사리, 맑은샘병원)",tel:055-636-4800,055-636-4800,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,2개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1713656537516.jpg,신세계장례식장,"경상남도 창원시 마산회원구 내서읍 죽암로 89 (호계리, 신세계요양병원)",tel:055-715-5444,055-715-5444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,2개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1688796621762.jfif,큰사랑요양병원장례식장,"경상남도 창원시 마산회원구 북성로 469 (두척동, 큰사랑요양병원)",tel:055-231-5444,055-231-5444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000718/1560321354411.jpg,합천추모공원장례식장,경상남도 합천군 합천읍 합천호수로 1613 (합천리),tel:055-934-4444,055-934-4444,,,,8개월전 업데이트,,
사설,https://15774129.go.kr/BCUser/facilitypic/1713249589629.jpg,삼성창원병원장례식장,"경상남도 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",tel:055-233-5131,055-233-5131,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000001947/1536989691235.jpg,행복한병원장례식장,"경상남도 창원시 의창구 북면 천주로 785,행복한병원장례식장 (동전리, 행복한병원)",tel:055-255-0220,055-255-0220,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png,
