fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
https://15774129.go.kr/BCUser/facilitypic/7000001023/1564464470906.jpg,만평장례식장,광주광역시 광산구 임방울대로 24 (우산동),tel:062-611-0000,062-611-0000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,11개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1325136950826_1000000704_0.jpg,조선대학교병원장례식장,광주광역시 동구 필문대로 365 (서석동),tel:062-220-3352,062-220-3352,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,0개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/7000000584/1554960620791.jpg,광주수완장례식장,광주광역시 광산구 수완로 6 (신가동),tel:062-959-4444,062-959-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,0개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000303/1562898844925.jpg,광주보훈병원장례식장,"광주광역시 광산구 첨단월봉로 99 (산월동, 광주보훈병원)",tel:062-973-9164,062-973-9164,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,6개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000676/1559106963585.jpg,전남대학교병원장례식장,"광주광역시 동구 제봉로 42 (학동, 전남대학교병원)",tel:062-220-5049,062-220-5049,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1470800082863_1000000776_0.jpg,(주)천지문화원 (천지장례식장),광주광역시 서구 풍서좌로 173-1 (매월동),tel:062-527-1000,062-527-1000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,1개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000096/1559110401842.jpg,광주병원장례식장,"광주광역시 북구 면앙로139번길 51, 지하2층 (두암동)",tel:062-260-7850,062-260-7850,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,18개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1467285673574_1000000427_0.jpg,성요한병원장례식장,"광주광역시 북구 태봉로 32 (유동, 천주의성요한병의원)",tel:062-510-3005,062-510-3005,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,23개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1740320087382.png,광주남문장례식장(주),광주광역시 남구 서문대로499번길 26-15 (송하동),tel:062-675-5000,062-675-5000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,7개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1638935354471.jpg,그린장례문화원주식회사,광주광역시 북구 하서로663번길 97 (용전동),tel:062-250-4455,062-250-4455,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,5개월전 업데이트
