fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
사설,https://15774129.go.kr/BCUser/facilitypic/7000000904/1556525073625.jpg,(주)시민장례식장,부산광역시 부산진구 자유평화로 31 (범천동),tel:051-636-4444,051-636-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,9개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1740014214313.jpg,부산전문장례식장,"부산광역시 사상구 낙동대로 1056 (감전동, 부산전문장례예식장)",tel:051-312-4444,051-312-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1597962104523_7000002402_0.JPG,대동병원장례식장,"부산광역시 동래구 충렬대로181번길 22 (지하1층, 2층)",tel:051-550-9991,051-550-9991,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1605855789031_1000000349_0.jpg,삼신전문장례식장,부산광역시 사상구 대동로 261 (감전동),tel:051-323-0044,051-323-0044,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1481178293568_7000000289_0.JPG,해운대백병원장례식장,"부산광역시 해운대구 해운대로 875 (좌동, 인제대학교해운대백병원)",tel:051-893-4444,051-893-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002100/1561612803706.jpg,고신대병원 장례식장,"부산광역시 서구 감천로 262 (암남동, 고신대학교복음병원)",tel:051-990-6444,051-990-6444,,,,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1691391709962.jpg,동래봉생병원장례식장,"부산광역시 동래구 충렬대로348번길 23 (낙민동, 설봉빌딩)",tel:051-531-7100,051-531-7100,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000875/1562897487049.jpg,한중프라임장례식장,부산광역시 북구 낙동대로 1596 (구포동),tel:051-305-4000,051-305-4000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002235/1562897130510.jpg,부산백병원 장례식장,"부산광역시 부산진구 복지로 75 (개금동, 부산백병원)",tel:051-896-4444,051-896-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000318/1556500678238.jpg,부산성모병원장례식장,부산광역시 남구 용호로232번길 25-14 (용호동),tel:051-933-7480,051-933-7480,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000103/1561613349917.jpg,괴정병원장례식장,부산광역시 사하구 낙동대로249번길 11 (괴정동),tel:051-293-4382,051-293-4382,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1715845842469.jpg,(주)착한전문장례식장,"부산광역시 동래구 반송로 183 (낙민동, RP안락점)",tel:051-987-1024,051-987-1024,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000904/1556525073625.jpg,(주)시민장례식장,부산광역시 부산진구 자유평화로 31 (범천동),tel:051-636-4444,051-636-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,9개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1740014214313.jpg,부산전문장례식장,"부산광역시 사상구 낙동대로 1056 (감전동, 부산전문장례예식장)",tel:051-312-4444,051-312-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1597962104523_7000002402_0.JPG,대동병원장례식장,"부산광역시 동래구 충렬대로181번길 22 (지하1층, 2층)",tel:051-550-9991,051-550-9991,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000100/1556501276416.jpg,프라임장례원,"부산광역시 동래구 미남로146번길 11 (온천동, 광혜병원장례식장)",tel:051-506-1022,051-506-1022,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,5개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1465798299672_7000001087_0.JPG,(주)장례식장아시아드,부산광역시 동래구 여고로 42 (사직동),tel:051-503-0770,051-503-0770,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1620701356045.jpg,금사장례식장,부산광역시 금정구 반송로 470 (금사동),tel:051-977-4445,051-977-4445,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000747/1563429784838.jpg,중앙U병원장례식장,부산광역시 사하구 감천로 59 (감천동),tel:051-201-0468,051-201-0468,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000317/1560220913760.jpg,부산보훈병원장례식장,"부산광역시 사상구 백양대로 420 (주례동, 부산보훈병원)",tel:051-601-6785,051-601-6785,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000458/1563432335521.jpg,BHS한서병원장례식장,부산광역시 수영구 수영로 615 (광안동),tel:051-751-1860,051-751-1860,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1516251784608_7000001429_0.jpg,다대수병원장례식장,부산광역시 사하구 다대로 565 (다대동),tel:051-264-3535,051-264-3535,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1395623810039_1000000259_0.JPG,메리놀병원장례식장,부산광역시 중구 중구로 121 (대청동4가),tel:051-465-1024,051-465-1024,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000962/1556524775629.jpg,(주)수요양병원장례식장,"부산광역시 부산진구 동평로 401,지하1층,지하2층 (양정동)",tel:051-853-1024,051-853-1024,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1751945747555.jpg,동의의료원장례식장,"부산광역시 부산진구 양정로 62,1층 (양정동,동의의료원)",tel:051-866-3757,051-866-3757,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000308/1556500401351.jpg,좌천봉생병원장례식장,부산광역시 동구 중앙대로 401 (좌천동),tel:051-638-4411,051-638-4411,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001436/1576463963295.jpg,자연병원장례식장,부산광역시 사하구 장평로 1 (장림동),tel:051-262-1023,051-262-1023,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,55개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1505439841754_7000000621_0.jpg,서부산시민장례식장,부산광역시 사하구 장림번영로 59 (장림동),tel:051-264-0444,051-264-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002804/1722836205948.jfif,빌리브 세웅병원 쉴낙원 장례식장,부산광역시 동래구 충렬대로 455 (안락동),tel:051-521-3740,051-521-3740,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트
