fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),fac_update,convenient src (5)
사설,https://15774129.go.kr/BCUser/facilitypic/1000000069/1554194027882.jpg,고려대구로병원장례식장,"서울특별시 구로구 구로동로 148 (구로동, 고려대부속구로병원)",tel:02-857-0444,02-857-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,5개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1487832630690_1000000385_0.jpg,서울아산병원 장례식장,"서울특별시 송파구 올림픽로43길 88 (풍납동, 서울아산병원)",tel:02-3010-2000,02-3010-2000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000070/1554194983893.jpg,고려대학교안암병원장례식장,서울특별시 성북구 안암동5가 126-1 고대안암병원장례식장,tel:02-923-4442,02-923-4442,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,2개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000060/1474974736026.jpg,강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",tel:02-440-8800,02-440-8800,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000646/1554194663915.jpg,이대목동병원장례식장,"서울특별시 양천구 안양천로 1071 (목동, 이화여대목동병원)",tel:02-2650-5121,02-2650-5121,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000002186/1554195467481.jpg,이대서울병원장례식장,"서울특별시 강서구 공항대로 260 (마곡동, 이화의대부속서울병원)",tel:02-6986-4440,02-6986-4440,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1508199653150_1000000546_0.jpg,연세대학교 신촌장례식장,"서울특별시 서대문구 연세로 50-1 (신촌동, 연세의료원)",tel:02-2227-7500,02-2227-7500,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,6개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
공설,https://15774129.go.kr/BCUser/facilitypic/1000000059/1554274016783.jpg,경찰병원장례식장,"서울특별시 송파구 송이로 123 (가락동, 국립경찰병원)",tel:02-431-4400,02-431-4400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,9개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1332492373233_1000000062_0.JPG,경희의료원장례식장,"서울특별시 동대문구 경희대로 23,경희의료원장례식장 (회기동, 경희의료원)",tel:02-958-9721,02-958-9721,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,3개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000345/1474973044003.jpg,삼성서울병원장례식장,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",tel:02-3410-3151,02-3410-3151,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
공설,https://15774129.go.kr/BCUser/facilitypic/1478507464406_1000000630_0.jpg,원자력병원장례식장,"서울특별시 노원구 노원로 75 (공릉동, 한국원자력의학원)",tel:02-970-1288,02-970-1288,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000415/1569217241767.jpg,가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",tel:02-2030-4444,02-2030-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000069/1554194027882.jpg,고려대구로병원장례식장,"서울특별시 구로구 구로동로 148 (구로동, 고려대부속구로병원)",tel:02-857-0444,02-857-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,5개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1487832630690_1000000385_0.jpg,서울아산병원 장례식장,"서울특별시 송파구 올림픽로43길 88 (풍납동, 서울아산병원)",tel:02-3010-2000,02-3010-2000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000535/1554355262296.png,여의도성모장례식장,"서울특별시 영등포구 63로 10 (여의도동, 여의도성모병원)",tel:02-3779-1526,02-3779-1526,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트,
