fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
공설,https://15774129.go.kr/BCUser/facilitypic/1465801650706_7000000818_0.jpg,울산하늘공원 장례식장,울산광역시 울주군 삼동면 보삼길 550 (조일리),tel:052-255-3800,052-255-3800,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,12개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1494462995379_7000001639_0.jpg,울산시티병원장례식장,"울산광역시 북구 산업로 1001, B1층 (연암동)",tel:052-280-8400,052-280-8400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002775/1710751695760.jpg,보람세민에스장례식장,울산광역시 중구 내황4길 11보람세민에스장례식장 (반구동),tel:052-285-3905,052-285-3905,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000687/1555913296376.jpg,제일병원장례식장,"울산광역시 남구 남산로354번길 26 (신정동, 제일병원)",tel:052-265-1005,052-265-1005,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,18개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000114/1560318045053.jpg,국민요양병원장례식장,울산광역시 남구 번영로 15 (야음동),tel:052-269-0119,052-269-0119,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,102개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000732/1560318342390.jpg,중앙병원장례예식장,"울산광역시 남구 문수로480번길 10 (신정동, 중앙병원)",tel:052-260-1006,052-260-1006,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,18개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1512534666915_1000000624_0.JPG,울산영락원,"울산광역시 남구 산업로517번길 10 (여천동, 울산영락원장례식장)",tel:052-272-1111,052-272-1111,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1706250050457.jpg,소다미(주)동강병원장례식장,"울산광역시 중구 태화로 240지하1,2층 (태화동, 동강병원남관)",tel:052-241-1440,052-241-1440,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,23개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000711/1555913364023.jpg,좋은삼정병원장례식장,울산광역시 남구 북부순환도로 51 (무거동),tel:052-220-7799,052-220-7799,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,7개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000124/1554958612750.jpg,굿모닝병원장례식장,울산광역시 남구 삼산로 110 (달동),tel:052-256-7444,052-256-7444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,59개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1646212739020.jpg,울산병원장례식장,울산광역시 남구 월평로171번길 19 (신정동),tel:052-227-1024,052-227-1024,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,10개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001995/1555901205979.jpg,세민병원장례식장,"울산광역시 중구 학성로 184,B1층 (학성동, 울산세민병원)",tel:052-293-4445,052-293-4445,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1465801650706_7000000818_0.jpg,울산하늘공원 장례식장,울산광역시 울주군 삼동면 보삼길 550 (조일리),tel:052-255-3800,052-255-3800,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,12개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1732525720532.jpg,울산전문장례식장,울산광역시 북구 산업로 1023 (연암동),tel:052-242-4444,052-242-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,13개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1467162935430_1000000621_0.gif,울산대학교병원장례식장,"울산광역시 동구 대학병원로 32 (전하동, 울산대학교병원)",tel:052-250-8444,052-250-8444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002297/1579507219462.jpg,서울산국화원장례식장,울산광역시 울주군 삼남면 중평로 53 (교동리),tel:052-254-0444,052-254-0444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1496214790273_1000000623_0.jpg,울산국화원장례식장,울산광역시 남구 산업로 88 (상개동),tel:052-269-4444,052-269-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,9개월전 업데이트
