fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),fac_update,btn_package_none,convenient src (4),convenient src (5),btn_package
사설,https://15774129.go.kr/BCUser/facilitypic/1465952303316_1000000750_0.JPG,진도군산림조합직영추모관장례식장,전라남도 진도군 진도읍 진도대로 7143-10 (쌍정리),tel:061-543-4040,061-543-4040,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,8개월전 업데이트,장례예식 패키지 상품 없음,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1409815921657_1000000405_0.jpg,성가롤로병원장례식장,"전라남도 순천시 순광로 221 (조례동, 성가롤로병원)",tel:061-900-4444,061-900-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,10개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000000194/1555305753676.jpg,우주장례식장,전라남도 고흥군 고흥읍 봉동주공길 56-16 (호형리),tel:061-832-4000,061-832-4000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,96개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark5.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1568083916328_1000000671_0.jpg,장흥우리병원중앙장례식장,전라남도 장흥군 장흥읍 남부관광로 6 (건산리),tel:061-863-4444,061-863-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,1개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001548/1562914093205.jpg,목포장례문화원,전라남도 목포시 고하대로 1140-41 (대양동),tel:061-242-4400,061-242-4400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,20개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001224/1554880611641.png,관산정남진장례식장,전라남도 장흥군 관산읍 관산로 133 (남송리),tel:061-867-4400,061-867-4400,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,39개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark5.png,,
공설,https://15774129.go.kr/BCUser/facilitypic/7000001239/1562898370406.jpg,강진의료원장례식장,"전라남도 강진군 강진읍 탐진로 5 (서성리, 강진의료원)",tel:061-430-1004,061-430-1004,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,30개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark5.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000000830/1563425200939.jpg,서해안장례식장,전라남도 목포시 고하대로 797 (연산동),tel:061-246-4444,061-246-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,2개월전 업데이트,,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,장례예식 패키지 상품 정보
공설,https://15774129.go.kr/BCUser/facilitypic/1000000467/1554273057776.jpg,순천의료원장례식장,"전라남도 순천시 서문성터길 2 (매곡동, 순천의료원)",tel:061-759-9090,061-759-9090,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,17개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1658567925436.jpg,담양제일장례식장,전라남도 담양군 담양읍 추성로 1198 (양각리),tel:061-382-1111,061-382-1111,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,3개월전 업데이트,장례예식 패키지 상품 없음,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
