fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
사설,https://15774129.go.kr/BCUser/facilitypic/1000000682/1554881816601.jpg,정읍아산병원장례식장,전라북도 정읍시 충정로 606-22 (용계동),tel:063-530-6644,063-530-6644,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002174/1555488699327.jpg,삼봉장례식장,전라북도 완주군 삼례읍 과학로 466 (신탁리),tel:063-261-4445,063-261-4445,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000215/1555490699872.png,대한장례식장,전라북도 전주시 완산구 구이로 2050. 대한장례식장 (평화동3가),tel:063-227-4444,063-227-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1510708881353_1000000208_0.jpg,대송장례식장,전라북도 전주시 덕진구 동부대로 1015 (송천동2가),tel:063-274-4300,063-274-4300,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,22개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1544166428894_7000002144_0.jpg,엠지(MG)새마을금고 장례식장,"전라북도 남원시 요천로 1237 (조산동, 장례식장)",tel:063-636-4141,063-636-4141,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1525315028886_7000001946_0.JPG,효사랑장례문화원,"전라북도 전주시 완산구 용머리로 77 (효자동1가, 효사랑가족요양병원)",tel:063-250-4444,063-250-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,14개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1715570843271.jpg,남원의료원장례식장,전북특별자치도 남원시 충정로 365 (고죽동),tel:063-620-1140,063-620-1140,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,4개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1465892447312_7000001171_0.jpg,모현장례문화원,전라북도 익산시 오산면 무왕로2길 321-20 (장신리),tel:063-853-9889,063-853-9889,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000902/1563523154426.jpg,혜성병원장례식장,"전라북도 부안군 부안읍 부령로 34 (선은리, 혜성병원)",tel:063-584-4300,063-584-4300,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,17개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1547433279730_1000000262_0.jpg,(주)모악장례문화원,전라북도 전주시 완산구 우림로 1109 (삼천동2가),tel:063-221-4400,063-221-4400,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,25개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001209/1555487942890.png,백제장례예식장,전라북도 익산시 함열읍 익산대로 1493 (석매리),tel:063-861-5300,063-861-5300,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1476958262032_7000001153_0.jpg,부안호남장례식장,전라북도 부안군 행안면 부안로 2563 (신기리),tel:063-581-1004,063-581-1004,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,21개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000682/1554881816601.jpg,정읍아산병원장례식장,전라북도 정읍시 충정로 606-22 (용계동),tel:063-530-6644,063-530-6644,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002174/1555488699327.jpg,삼봉장례식장,전라북도 완주군 삼례읍 과학로 466 (신탁리),tel:063-261-4445,063-261-4445,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1613786960520.jpg,(주)금성장례식장,전라북도 전주시 덕진구 가리내로 670 (송천동2가),tel:063-276-4444,063-276-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000119/1556066670047.jpg,군산장례식장,전라북도 군산시 공단대로 700 (소룡동),tel:063-468-4119,063-468-4119,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000323/1563514547093.jpg,부안효병원장례식장,전라북도 부안군 행안면 염소로 25 (역리),tel:063-582-3939,063-582-3939,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,39개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002183/1554185424935.jpg,(유)태영장례 익산병원장례식장,"전라북도 익산시 무왕로 969익산병원장례식장 (신동, 익산병원)",tel:063-851-9444,063-851-9444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000580/1474949266915.jpg,(유)예수병원장례식장,"전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원)",tel:063-285-1009,063-285-1009,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,5개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1729385516361.jpg,임실 중앙장례식장,전라북도 임실군 임실읍 호국로 1767 (이도리),tel:063-644-6666,063-644-6666,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000768/1555487815845.png,원광대학교병원장례문화원(천도장례식장),전라북도 익산시 무왕로 895 (신동) 원광대학교병원 장례식장,tel:063-855-1734,063-855-1734,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000634/1554341132261.png,월명장례식장,전라북도 군산시 미룡갈마길 75 (신관동),tel:063-468-4851,063-468-4851,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,30개월전 업데이트
