fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),fac_update,convenient src (5)
사설,https://15774129.go.kr/BCUser/facilitypic/1625533627499.JPG,교원예움 아산장례식장,"충청남도 아산시 신정로 713 (방축동62-7, 방축동 42-1)",tel:041-549-4441,041-549-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,28개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1486664384089_1000000195_0.jpg,당진중앙장례식장,충청남도 당진시 송악읍 조비실길 47 (광명리),tel:041-358-3000,041-358-3000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
공설,https://15774129.go.kr/BCUser/facilitypic/1000000372/1554257725200.jpg,서산의료원상례원,충청남도 서산시 중앙로 149 (석림동),tel:041-689-7444,041-689-7444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,6개월전 업데이트,
공설,https://15774129.go.kr/BCUser/facilitypic/1000000909/1554269261360.jpg,홍성의료원장례식장,충청남도 홍성군 홍성읍 조양로 224 (고암리),tel:041-630-6244,041-630-6244,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,16개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
공설,https://15774129.go.kr/BCUser/facilitypic/1414656344047_1000000770_0.jpg,천안의료원장례식장,충청남도 천안시 동남구 충절로 537 (삼룡동),tel:041-570-7099,041-570-7099,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,10개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000133/1563430507149.jpg,금강장례식장,충청남도 부여군 부여읍 백제문화로429번길 9 (자왕리),tel:041-834-0100,041-834-0100,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,7개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002030/1536989871993.jpg,아산유리요양병원 장례식장,"충청남도 아산시 도고면 도고면로 179,아산유리요양병원 (기곡리)",tel:041-549-1044,041-549-1044,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002118/1555985078902.jpg,순천향천안장례식장,"충청남도 천안시 동남구 순천향6길 30 (봉명동, 순천향대학교천안병원)",tel:041-570-2444,041-570-2444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000577/1555985261316.jpg,예산명지병원장례식장,충청남도 예산군 예산읍 신례원로 26 (관작리),tel:041-334-0444,041-334-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1661915646241.jpg,예산종합병원장례식장,충청남도 예산군 예산읍 금오대로 94 (산성리),tel:041-331-4444,041-331-4444,https://15774129.go.kr/img/portal/sub/mark4.png,,,,0개월전 업데이트,
공설,https://15774129.go.kr/BCUser/facilitypic/1000000807/1554264560386.jpg,태안군보건의료원 상례원,"충청남도 태안군 태안읍 서해로 1952-16 (평천리, 태안군보건의료원)",tel:041-671-5303,041-671-5303,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,4개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001423/1554943973709.jpg,고덕장례문화원,충청남도 예산군 고덕면 예덕로 592 (대천리),tel:041-337-4440,041-337-4440,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,0개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1625533627499.JPG,교원예움 아산장례식장,"충청남도 아산시 신정로 713 (방축동62-7, 방축동 42-1)",tel:041-549-4441,041-549-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,28개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/1486664384089_1000000195_0.jpg,당진중앙장례식장,충청남도 당진시 송악읍 조비실길 47 (광명리),tel:041-358-3000,041-358-3000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1565073498822_7000002249_0.jpg,남천안장례식장,"충청남도 천안시 동남구 천안대로 215 남천안장례식장 (삼룡동, 천안효요양병원)",tel:041-523-4444,041-523-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,3개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000187/1555907181318.jpg,단국대학교병원 천안장례식장,충청남도 천안시 동남구 망향로 201 (안서동),tel:041-550-7474,041-550-7474,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,9개월전 업데이트,
