시설유형,시설명,개인단_가격(만원),부부단_가격(만원)
"묘지","(재)경주공원묘원",0.1,
"묘지","(재)지평선전북공원묘원",135,
"묘지","남양공원묘원",95,
"묘지","(재)대지공원묘원",120,
"묘지","(재)봉황공원묘지",84,
"묘지","(재)안양공원묘원",40.5,
"묘지","영모묘원",1750,150
"묘지","(재)우성공원묘원",314.6,832.8
"묘지","(재)화산추모공원(묘지)",535.3,
"묘지","매화공원묘지",12.2,
"묘지","가북공설공원묘지",30,
"묘지","가조공설공원묘지",30,
"묘지","가평읍 제1공설묘지",20.5,
"묘지","거창공설공원묘지",30,
"묘지","(재)경맥백합공원",30.3,
"묘지","고능리공동묘지",3,
"묘지","장기공설공원묘원",40,
"묘지","고성군공설묘지",40.7,
"묘지","고제공설공원묘지",10,
"묘지","고천리공설묘지",3,
"묘지","공산면공설묘지",1,
"묘지","광주공원묘원",63.2,
"묘지","교산리공설묘지(별립산)",3,
"묘지","구례군공설묘지",20,
"묘지","구좌읍공설묘지",20,
"묘지","(재)자하연 일산(묘지)",0.1,0
"묘지","국화리공설묘지",3,
"묘지","군남면공설묘지",1.5,
"묘지","금광공설묘지",5,
"묘지","금남동공설묘지",1,
"묘지","금릉공원묘원",56,
"묘지","재단법인금산공원묘원",90,
"묘지","김해하늘공원(묘지)",120,
"묘지","파주하늘나라공원",61.7,
"묘지","(재)하늘나라공원 포천묘원",96.2,
"묘지","길정리공설묘지",3,
"묘지","길직1리공설묘지",3,
"묘지","길직2리공설묘지",3,
"묘지","김해공원묘원",83,
"묘지","꽃빛공원(와동공설공원묘지)",68.3,
"묘지","천주교나주성당공원묘지",1,
"묘지","낙원공원묘원",100,
"묘지","(재)낙원추모공원",190,
"묘지","남산리공설묘지",3,
"묘지","남상공설공원묘지",30,
"묘지","화도공설묘지",2,
"묘지","수동공설묘지",2,
"묘지","남원읍공설묘지",5,
"묘지","남평읍공설묘지",1,
"묘지","남한강공원묘원",131.8,
"묘지","남해추모누리 공설종합묘원",86,
"묘지","내리공설묘지",6,
"묘지","내리교회묘지",0.4,
"묘지","넙성리공동묘지",3,
"묘지","다도면공설묘지",1,
"묘지","다시면공설묘지",1,
"묘지","답곡리 공설묘지",18.7,
"묘지","당산리공설묘지",3,
"묘지","대곡공설묘지",0.4,
"묘지","(재)대명공원묘원",110,
"묘지","대성공원묘원",269.5,
"묘지","대전추모공원(묘지)",44,
"묘지","대정공원묘원",51,
"묘지","대정읍공설묘지",5,
"묘지","대청리공설묘지",6,
"묘지","대호지공설묘지",69.4,
"묘지","덕성리공동묘지",3,
"묘지","영암군덕진공설묘지",9,
"묘지","덕하1리공설묘지",3,
"묘지","덕하2리공설묘지",3,
"묘지","도림공설묘지",0.4,
"묘지","도장리공설묘지",3,
"묘지","동강면공설묘지",1,
"묘지","동검리공설묘지",3,
