장례식장명,항목,호실/상세,가격(만원)
"(복)대구가톨릭사회복지회논공 장례식장","장례식장 임대료","특1호실",40
"(복)대구가톨릭사회복지회논공 장례식장","장례식장 임대료","대특실",50
"(복)대구가톨릭사회복지회논공 장례식장","장례식장 임대료","특2호실",30
"(복)대구가톨릭사회복지회논공 장례식장","장례식장 임대료","특3호실",30
"(복)대구가톨릭사회복지회논공 장례식장","장례식장 임대료","일반실",20
"(복)대구가톨릭사회복지회논공 장례식장","안치료","안치료1일사용료",6
"(유)금강장례식장","장례식장 임대료","염습실사용료 (1회)",30
"(유)금강장례식장","안치료","안치료 (1일기준)",12
"(유)금강장례식장","염습료","야간입관 / 사고사",50
"(유)금강장례식장","염습료","염습비",35
"(유)금강장례식장","염습료","상조포함",30
"(유)금강장례식장","염습료","수시비",20
"(유)동이리장례식장","장례식장 임대료","분향실접객실상주방2로비등 200평(1",2.9
"(유)동이리장례식장","장례식장 임대료","분향실접객실상주방1로비등 100평(1",1.9
"(유)동이리장례식장","장례식장 임대료","입관실부대시설비품등",30
"(유)동이리장례식장","안치료","안치고 및 부대시설(1시간당)",0.5
"(유)동이리장례식장","염습료","대렵 및 입관 - 2인",30
"(유)동이리장례식장","염습료","초렴(수시) 및 안치-  2인",12
"(유)무안병원장례식장","장례식장 임대료","모든호실 24시간 임대기준",40
"(유)무안병원장례식장","안치료","1일기준",7
"(유)무안병원장례식장","염습료","2인기준",30
"(유)브이아이피장례타운","장례식장 임대료","2박3일/기준 2일계산(180석)",260
"(유)브이아이피장례타운","장례식장 임대료","2박3일/기준 2일계산(80석)",160
"(유)브이아이피장례타운","장례식장 임대료","2박3일/기준 2일계산(120석)",200
"(유)브이아이피장례타운","장례식장 임대료","2박3일/기준 2일계산(240석)",300
"(유)브이아이피장례타운","장례식장 임대료","2박3일/기준 2일계산",80
"(유)브이아이피장례타운","장례식장 임대료","1회",30
"(유)브이아이피장례타운","안치료","1일기준",10
"(유)브이아이피장례타운","염습료","상가",30
"(유)브이아이피장례타운","염습료","상가",10
"(유)성인천장례식장","장례식장 임대료","60평(1일)",67.2
"(유)성인천장례식장","장례식장 임대료","60평(1일)",72
"(유)성인천장례식장","장례식장 임대료","80 평 (1일)",88.8
"(유)성인천장례식장","장례식장 임대료","100평 (1일)",108
"(유)성인천장례식장","장례식장 임대료","130 평(1일)",144
"(유)성인천장례식장","장례식장 임대료","1회",30
"(유)성인천장례식장","안치료","1일",15
