시설명,주소,전화번호
"쉴낙원 홍천장례문화원","강원도 홍천군 홍천읍 설악로 2374 (와동리)","033-434-7788"
"양구군장례식장","강원도 양구군 양구읍 금강산로 518-25 (하리)","033-480-2576"
"철원장례문화원","강원도 철원군 동송읍 금학로157번길 23-17 (이평리)","033-456-4444"
"정선군사북장례식장","강원도 정선군 사북읍 지장천로 727,정선군사북장례식장 (사북리, 정선군립병원)","033-592-4449"
"동해병원장례식장","강원도 동해시 하평로 11 (평릉동, 산재의료관리원동해병원)","033-535-3001"
"일산백장례서비스(주)","경기도 고양시 일산서구 주화로 170,일산백병원B2층 (대화동)","031-910-7444"
"포천장례문화원(주)","경기도 포천시 호국로 908-13 (설운동)","031-541-4144"
"수원덕산병원장례식장","경기도 수원시 권선구 서부로 1670번길 9 B2층 장례식장 (고색동)","031-686-2900"
"동두천중앙성모장례식장","경기도 동두천시 동광로 53 (생연동)","031-862-4949"
"뉴대성병원장례식장(구 DS병원장례식장)","경기도 부천시 원미구 부흥로 377뉴대성병원장례식장 (심곡동, DS병원)","032-666-1002"
"웅상중앙병원장례식장","경상남도 양산시 서창로 59 (명동)","055-912-4440"
"합천고려병원 장례식장","경상남도 합천군 대양면 대야로 737-20 (정양리)","055-931-4464"
"거창적십자병원장례식장","경상남도 거창군 거창읍 중앙로 91 (상림리, 거창적십자병원)","055-944-4482"
"남해병원장례식장","경상남도 남해군 남해읍 화전로 175 (아산리)","055-863-5444"
"하동병원장례식장","경상남도 하동군 하동읍 화심길 51-7 (두곡리)","055-884-7044"
"김해복음병원장례식장","경상남도 김해시 활천로 33,지하1층김해복음병원장례식장 (삼정동)","055-330-9999"
"시영의료재단 영동병원장례식장","경상남도 함안군 칠원읍 용산2길 45-13 (용산리, 병원)","055-587-4447"
"고성장례식장화라주식회사","경상남도 고성군 고성읍 상정대로 390 (교사리)","055-672-5000"
"의령사랑병원장례식장","경상남도 의령군 의령읍 의합대로 105-8 (무전리)","055-572-3900"
"의성성심요양병원장례식장","경상북도 의성군 금성면 탑리길 8-2 (대리리)","054-833-4479"
"영주적십자병원장례식장","경상북도 영주시 대학로 327 (가흥동, 영주적십자병원)","054-630-0128"
"명품병원장례문화원","경상북도 영주시 반지미로 260 (가흥동)","054-634-1444"
"그린장례문화원주식회사","광주광역시 북구 하서로663번길 97 (용전동)","062-250-4455"
"(유)브이아이피장례타운","광주광역시 서구 풍서좌로 237 (매월동)","062-521-4444"
"(주)광주국빈장례문화원","광주광역시 서구 회재로 825 (매월동)","062-606-4000"
"계산성당 연도실","대구광역시 중구 서성로 10 (계산동2가, 천주교계산천주교회)","053-256-2046"
"(주)수요양병원장례식장","부산광역시 부산진구 동평로 401,지하1층,지하2층 (양정동)","051-853-1024"
"서해장례문화원","인천광역시 강화군 강화읍 중앙로74번길 10 (남산리)","032-933-4463"
"학교법인영산학원시민장례식장","인천광역시 미추홀구 석정로64번길 22 (숭의동, 시민장례식장)","032-889-4644"
"진도군산림조합직영추모관장례식장","전라남도 진도군 진도읍 진도대로 7143-10 (쌍정리)","061-543-4040"
"장흥병원장례식장","전라남도 장흥군 장흥읍 흥성로 74 (건산리)","061-864-4444"
"목포성심장례문화원","전라남도 목포시 산계길 4-9 (대양동)","061-261-4444"
"산림조합 장성장례식장","전라남도 장성군 장성읍 역전로 155 (기산리)","061-394-0444"
"삼성장례식장","전라남도 완도군 완도읍 농공단지1길 24 (가용리)","061-555-4455"
"목포현대병원장례식장","전라남도 목포시 용당로 322-1 (용해동)","061-270-9708"
"목포기독병원장례식장","전라남도 목포시 백년대로 303 (상동)","061-283-4444"
"담양동산병원장례식장","전라남도 담양군 담양읍 죽향대로 1203 (백동리)","061-383-0000"
"강진군산림조합추모관장례식장","전라남도 강진군 강진읍 해강로 1437 (서성리)","061-430-5444"
"장성병원장례식장","전라남도 장성군 장성읍 역전로 171 (영천리)","061-393-4444"
"(주)구례장례식장","전라남도 구례군 구례읍 용방로 15 (백련리)","061-782-0444"
"벌교중앙장례식장","전라남도 보성군 벌교읍 원동길 89 (척령리)","061-857-3000"
"옥곡장례식장","전라남도 광양시 옥곡면 강변로 448 (신금리)","061-793-4444"
"여수전남병원장례식장","전라남도 여수시 광무1길 28-6 (광무동, 전남병원장례식장)","061-642-4444"
"완도대성병원장례식장","전라남도 완도군 완도읍 청해진동로 63 (가용리)","061-554-4456"
"삼목장례프리드","전라남도 목포시 청호로220번길 17 (산정동)","061-274-4441"
"해남군산림조합장례식장","전라남도 해남군 해남읍 신안길 2-22 (고도리)","061-532-4444"
"나주중앙요양병원장례식장","전라남도 나주시 영산로 5406 (성북동)","061-333-0444"
"노화장례문화센터","전라남도 완도군 노화읍 노화로 789 (이포리)","02-554-0444"
"모현장례문화원","전라북도 익산시 오산면 무왕로2길 321-20 (장신리)","063-853-9889"
"(주)모악장례문화원","전라북도 전주시 완산구 우림로 1109 (삼천동2가)","063-221-4400"
"월명장례식장","전라북도 군산시 미룡갈마길 75 (신관동)","063-468-4851"
"효자장례타운","전라북도 전주시 완산구 콩쥐팥쥐로 1705-36 (효자동3가)","063-228-4441"
"유림장례식장","전라북도 정읍시 명덕로 54 (연지동, 유림웨딩홀)","063-534-4444"
"순창온누리장례식장","전라북도 순창군 순창읍 남계로 14 (교성리 659-24)","063-653-4482"
"함열장례식장","전라북도 익산시 함열읍 정동1길 6-9 (와리)","063-862-4444"
"시티장례문화원","전라북도 전주시 완산구 콩쥐팥쥐로 1614 (상림동)","063-274-4444"
"정읍장례문화원","전라북도 정읍시 벚꽃로 131 (연지동)","063-535-7777"
"전주시민장례문화원","전라북도 전주시 완산구 유연로 27 (효자동3가)","063-263-4444"
"전주고려병원장례식장","전라북도 전주시 덕진구 안덕원로 367 (산정동)","063-242-9944"
"(유)은파장례문화원","전라북도 군산시 미성로 512 (미룡동)","063-445-4444"
"태안군보건의료원 상례원","충청남도 태안군 태안읍 서해로 1952-16 (평천리, 태안군보건의료원)","041-671-5303"
"고덕장례문화원","충청남도 예산군 고덕면 예덕로 592 (대천리)","041-337-4440"
"청담장례문화원","충청남도 예산군 예산읍 차동로 1451 (대회리)","041-331-7000"
"황산장례문화원","충청남도 논산시 계백로 1161 (덕지동)","041-733-4447"
"놀뫼시민장례원","충청남도 논산시 원댕이길 12 (내동)","041-733-0404"
"성월장례문화원","충청남도 천안시 서북구 성환읍 천안대로 2096 (성월리)","041-588-4444"
"신풍장례문화원","충청남도 공주시 신풍면 차동로 1817-34 (백룡리)","041-841-4442"
"서해병원장례식장","충청남도 서천군 서천읍 서천로 184 (사곡리)","041-953-4440"
"합자회사 서서천장례문화원","충청남도 서천군 비인면 충서로 862 (선도리)","041-952-7778"
"우리하늘장례원","충청남도 논산시 연무읍 안심로 280 (안심리)","041-741-4404"
"충주기독장례식장","충청북도 충주시 성남2길 7 (성남동)","043-844-4460"
"의)증평휴장례식장","충청북도 증평군 증평읍 중앙로 114지하1층 (초중리)","043-838-6663"
