이름,개수,ID1,주소1,좌표1,ID2,주소2,좌표2,비고
"제일장례식장",10,9158495839,"전라남도 영광군 영광읍 옥당로 308-3 (월평리)","35.2859519207291,126.506671715437",7852330000,"충청남도 아산시 시민로 40 (신인동, 장례문화원)","36.7545673334677,126.9887543746",외 8개
"중앙장례식장",10,7588741671,"강원도 동해시 효자로 748 (송정동)","37.4918648236864,129.116119321898",6949139353,"세종특별자치시 조치원읍 섭골길 37 (서창리, 중앙요양병원)","36.6137652164847,127.288274848216",외 8개
"우리장례식장",6,4154861870,"경상남도 사천시 송포공단길 53 (송포동, 우리장례식장)","34.9735918103234,128.053961991299",3231423378,"전라남도 곡성군 옥과면 천변로 83 (율사리)","35.2697668872312,127.13256281797",외 4개
"금강장례식장",6,7809489745,"인천광역시 미추홀구 인주대로 452 (주안동, 금강요양병원,새한장례식장)","37.4505422776636,126.686560651396",1154657972,"충청남도 부여군 부여읍 백제문화로429번길 9 (자왕리)","36.3119494240755,126.95088949354",외 4개
"시민장례식장",6,1316638642,"경상남도 사천시 송포공단길 31시민장례식장 (송포동)","34.9742088265283,128.056507286859",5626222441,"경상북도 경주시 화랑로 40 (성건동)","35.8442996656344,129.205134764847",외 4개
"참사랑장례식장",5,2581627162,"인천광역시 강화군 선원면 중앙로 271 (창리, 참사랑장례식장)","37.722963873427,126.48034437465",1479646957,"인천광역시 강화군 선원면 중앙로 271 (창리, 참사랑장례식장)","37.722963873427,126.48034437465",외 3개
"유토피아추모관",4,1813190712,"경기도 안성시 일죽면 화곡길 130 (화곡리, 유토피아추모관)","37.1190322109187,127.460605075406",6963562394,"경기도 안성시 일죽면 화곡길 130 (화곡리, 유토피아추모관)","37.1190322109187,127.460605075406",외 2개
"뉴타운장례식장",4,2343480236,"서울특별시 성북구 종암로 199 (하월곡동)","37.6076005207997,127.030397152047",6325076729,"전라북도 전주시 완산구 노송광장로 60 (서노송동)","35.8261740254639,127.145380367505",외 2개
"보은장례식장",3,8622548520,"충청북도 보은군 보은읍 보청대로 1469-36 (길상리)","36.4843409412703,127.754396982157",26395178,"전북특별자치도 남원시 향단로 28","35.4057551592765,127.382797599425",외 1개
"늘푸른수목장",3,8822110160,"전라남도 보성군 노동면 평동로 877-14 (옥마리)","34.8011598742846,127.034215527677",1757841284,"광주 동구 의재로 50-1","35.1323222531115,126.933070718417",외 1개
"성심장례식장",3,6926022544,"부산광역시 해운대구 좌동순환로 462 (중동, 성심병원)","35.1626684666248,129.17152941352",18848642,"대전 서구 갑천도시고속도로 1893","36.3502231655854,127.35159944187",외 1개
"중앙병원 장례식장",3,9431648,"전남 목포시 영산로 623","34.82079773132,126.421392853288",15327276,"경기 의정부시 평화로 609","37.746273207275,127.045421632678",외 1개
"농협연합장례식장",3,3657030232,"충청북도 음성군 금왕읍 대금로1278번길 32 (오선리)","36.980835566603,127.576564511568",17733981,"경기 평택시 오성면 서동대로 2427-28","37.0178321094405,127.012738383801",외 1개
"고성장례식장",3,4960917938,"강원특별자치도 고성군 죽왕면 향목서길 9 (향목리, 고성장례식장)","38.3765417130575,128.483399480697",9653780,"경남 고성군 고성읍 상정대로 390","34.9768203007566,128.302851456927",외 1개
"대전추모공원",3,57994546,"대전 서구 상보안윗길 137-13","36.2837468349782,127.340640973458",170030642,"대전 서구 상보안윗길 160","36.2837968845975,127.340470888222",외 1개
"현대장례식장",3,8167603,"충북 음성군 생극면 일생로 516","37.0308086328968,127.576774704033",10988915,"전남 해남군 해남읍 남부순환로 345","34.5788089128437,126.581798076441",외 1개
"무지개추모공원",2,14,"경기도 김포시 통진읍 옹정리 123","37.6855,126.6585",25070152,"충북 음성군 생극면 오신로445번길 77","37.0224559314058,127.618083967306",
"한일병원 장례식장",2,17085739,"경남 진주시 범골로 17","35.1669467144539,128.128596793449",8155663,"서울 도봉구 우이천로 308","37.6456951694347,127.029211355357",
"영동병원 장례식장",2,791208312,"경남 함안군 칠원읍 용산2길 45-13","35.3088166716877,128.515662554399",9298234,"충북 영동군 영동읍 대학로 106","36.184719963111,127.780987553052",
"한빛장례식장",2,15843684,"제주특별자치도 서귀포시 동홍동 1518","33.2566928212119,126.564669252954",132731092,"경남 진주시 대신로 120","35.1709746717428,128.118583724131",
"우석장례식장",2,1115312660,"전북특별자치도 김제시 서암4길 45","35.8075989285558,126.880077063649",10708888,"전북특별자치도 익산시 목천로 118","35.9240187913945,126.939448268805",
"금성장례식장",2,8802853,"전북특별자치도 전주시 덕진구 가리내로 670","35.8680534613188,127.108572722524",580476947,"경기 평택시 진위면 남부대로 655","37.1223568909701,127.102575870485",
"시안가족추모공원",2,2,"경기도 광주시 오포읍 문형산길 85","37.3325,127.1852",12991201,"경기 광주시 오포안로 17","37.354591544232,127.192210380357",
"봉황장례식장",2,1396609136,"전남 목포시 삼학로 154","34.7867417093563,126.400640056316",246440341,"전남 고흥군 고흥읍 신호산장길 3","34.6061635832445,127.296401530972",
"명지병원 장례식장",2,14650869,"경기 고양시 덕양구 화수로14번길 55","37.6424283125032,126.830657534502",9446663,"충북 제천시 내토로 993","37.1639000378797,128.233795058831",
"동산병원 장례식장",2,7839641,"부산 사하구 낙동대로216번길 10","35.1007289730259,128.993138137651",7814178,"전남 담양군 담양읍 죽향대로 1203","35.3131412394168,126.981948344911",
