시설명,주소,전화번호,출처파일
"고신대병원 장례식장","부산광역시 서구 감천로 262 (암남동, 고신대학교복음병원)","051-990-6444","15774129-2025-12-22 bu.csv"
"동래봉생병원장례식장","부산광역시 동래구 충렬대로348번길 23 (낙민동, 설봉빌딩)","051-531-7100","15774129-2025-12-22 bu.csv"
"프라임장례원","부산광역시 동래구 미남로146번길 11 (온천동, 광혜병원장례식장)","051-506-1022","15774129-2025-12-22 bu.csv"
"(주)수요양병원장례식장","부산광역시 부산진구 동평로 401,지하1층,지하2층 (양정동)","051-853-1024","15774129-2025-12-22 bu.csv"
"행림병원 장례식장","부산광역시 금정구 중앙대로 1905(행림병원장례식장) (구서동, 행림병원)","051-582-1024","15774129-2025-12-22 bu.csv"
"(주)비이케이더블유 좋은삼선병원지점","부산광역시 사상구 가야대로 326 (주례동, 좋은삼선병원)","051-310-9292","15774129-2025-12-22 bu.csv"
"빌리브 세웅병원 쉴낙원 장례식장","부산광역시 동래구 충렬대로 455 (안락동)","051-521-3740","15774129-2025-12-22 bu.csv"
"(주)비이케이더블유 좋은장례식장","부산광역시 북구 금곡대로 586 (금곡동, 좋은리버뷰요양병원)","051-911-4444","15774129-2025-12-22 bu.csv"
"부산광역시의료원장례식장","부산광역시 연제구 월드컵대로 359 (거제동, 부산의료원)","051-607-2990","15774129-2025-12-22 bu.csv"
"(주)비케이더블유 좋은강안병원지점","부산광역시 수영구 수영로 493 (남천동)","051-610-9009","15774129-2025-12-22 bu.csv"
"온종합병원 장례식장","부산광역시 부산진구 가야대로 721 (당감동)","051-607-0111","15774129-2025-12-22 bu.csv"
"동래한서병원장례식장","부산광역시 금정구 중앙대로 1721 (부곡동)","051-582-1041","15774129-2025-12-22 bu.csv"
"인창병원장례식장","부산광역시 동구 중앙대로 281 (초량동)","051-464-5858","15774129-2025-12-22 bu.csv"
"해동병원장례식장","부산광역시 영도구 태종로 133 (봉래동3가)","051-410-6891","15774129-2025-12-22 bu.csv"
"영남대학교의료원 장례식장","대구광역시 남구 현충로 170 (대명동)","053-620-4670","15774129-2025-12-22 dae.csv"
"대명휴장례식장","대구광역시 남구 대명로 86 지하1층 대명휴장례식장(대명동)","053-472-0001","15774129-2025-12-22 dae.csv"
"웰니스1004병원장례식장","대구광역시 서구 달구벌대로 1889 (내당동)","053-522-0444","15774129-2025-12-22 dae.csv"
"k병원장례식장 예지원","대구광역시 북구 칠곡중앙대로 357 (태전동)","053-322-4444","15774129-2025-12-22 dae.csv"
"대구상례원전문장례식장","대구광역시 북구 호국로 133 (서변동)","053-952-4000","15774129-2025-12-22 dae.csv"
"운경의료재단곽병원장례식장","대구광역시 중구 국채보상로 531 (수동, 곽병원)","053-252-1023","15774129-2025-12-22 dae.csv"
"수성연도실","대구광역시 수성구 수성로 347 (수성동1가, 수성성당)","053-751-5961","15774129-2025-12-22 dae.csv"
"송현장례식장","대구광역시 달서구 월배로 384 (송현동)","053-621-4949","15774129-2025-12-22 dae.csv"
"현대S라이프(주)연세병원장례식장","대구광역시 달성군 화원읍 비슬로 2525 (성산리)","053-644-1919","15774129-2025-12-22 dae.csv"
"제일효병원장례식장","대구광역시 서구 북비산로 250 (평리동)","053-525-1024","15774129-2025-12-22 dae.csv"
"새동산병원 장례식장(구 365병원장례식장)","대구광역시 서구 국채보상로 379 (비산동)","053-527-4447","15774129-2025-12-22 dae.csv"
"한패밀리병원장례식장","대구광역시 수성구 동대구로 12 (지산동)","053-760-8800","15774129-2025-12-22 dae.csv"
