fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),fac_update,convenient src (3),convenient src (4),convenient src (5)
https://15774129.go.kr/BCUser/facilitypic/7000000444/1563951646463.png,성심장례식장,대전광역시 서구 갑천도시고속도로 1893 (월평동),tel:042-522-4494,042-522-4494,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,8개월전 업데이트,,,
https://15774129.go.kr/BCUser/facilitypic/1000000211/1559105955018.jpg,대전장례식장,대전광역시 서구 갑천도시고속도로 1895 (월평동),tel:042-522-4444,042-522-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png,,
https://15774129.go.kr/BCUser/facilitypic/1629167279170.jpg,대전보훈병원장례식장,대전광역시 대덕구 대청로82번길 147 (신탄진동),tel:042-933-4446,042-933-4446,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,23개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
https://15774129.go.kr/BCUser/facilitypic/7000002634/1709688446298.PNG,쉴낙원 갈마성심장례식장,"대전광역시 서구 갈마로 45,지하1층 (갈마동)",tel:042-533-4400,042-533-4400,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,3개월전 업데이트,,,
https://15774129.go.kr/BCUser/facilitypic/1576826308241_1000000161_0.jpg,쉴낙원 남대전장례식장,대전광역시 동구 산서로1660번길 142 (대별동),tel:042-285-4004,042-285-4004,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,2개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
https://15774129.go.kr/BCUser/facilitypic/1465631102852_1000000399_0.jpg,유성선병원장례식장,"대전광역시 유성구 북유성대로 93,B1층 (지족동)",tel:042-825-9494,042-825-9494,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,8개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
https://15774129.go.kr/BCUser/facilitypic/1000000822/1765841451361.jpg,평화원 장례식장,대전광역시 중구 대전천서로 745 (중촌동),tel:042-531-4444,042-531-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,0개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
https://15774129.go.kr/BCUser/facilitypic/1000000796/1559112398578.jpg,충남대학교병원장례식장,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",tel:042-280-8181,042-280-8181,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
https://15774129.go.kr/BCUser/facilitypic/1000000047/1559106756866.jpg,건양대학교병원장례식장,대전광역시 서구 관저동로 158 (관저동),tel:042-600-6666,042-600-6666,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,40개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
https://15774129.go.kr/BCUser/facilitypic/1000000849/1555913542341.jpg,한국병원장례식장,"대전광역시 동구 동서대로 1672 (성남동, 대전한국병원)",tel:042-638-4440,042-638-4440,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,41개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
https://15774129.go.kr/BCUser/facilitypic/7000001424/1554339933957.png,대청병원 장례식장,"대전광역시 서구 계백로 1322 (정림동, 대청병원)",tel:042-587-4442,042-587-4442,https://15774129.go.kr/img/portal/sub/mark4.png,,0개월전 업데이트,,,
https://15774129.go.kr/BCUser/facilitypic/1466997641499_1000000410_0.png,대전성모병원장례식장,"대전광역시 중구 대흥로 64 (대흥동, 가톨릭대학교대전성모병원)",tel:042-220-9870,042-220-9870,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
https://15774129.go.kr/BCUser/facilitypic/7000000444/1563951646463.png,성심장례식장,대전광역시 서구 갑천도시고속도로 1893 (월평동),tel:042-522-4494,042-522-4494,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,8개월전 업데이트,,,
https://15774129.go.kr/BCUser/facilitypic/1000000211/1559105955018.jpg,대전장례식장,대전광역시 서구 갑천도시고속도로 1895 (월평동),tel:042-522-4444,042-522-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark5.png,,
https://15774129.go.kr/BCUser/facilitypic/1434526212645_7000001073_0.jpg,유성한가족병원장례식장,대전광역시 유성구 온천동로 43 (봉명동),tel:042-611-9700,042-611-9700,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,16개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
