fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
사설,https://15774129.go.kr/BCUser/facilitypic/1000000545/1554881307505.jpg,연세대학교 원주장례식장,"강원도 원주시 일산로 20,내 (일산동, 연세대학교원주세브란스기독병원)",tel:033-744-3969,033-744-3969,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,24개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000519/1561077247868.jpg,교원예움 강원장례식장,강원도 춘천시 동내면 순환대로 877 (거두리),tel:033-261-4441,033-261-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1327455595511_1000000906_0.jpg,호반병원장례식장,강원도 춘천시 옛경춘로 663 (삼천동),tel:033-252-0046,033-252-0046,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,12개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000037/1555317175361.jpg,강원대학교병원장례식장,강원도 춘천시 백령로 156 (효자동),tel:033-254-5611,033-254-5611,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1589166239816_7000002387_0.jpg,춘천장례식장,강원특별자치도 춘천시 동면 소양강로 409 (장학리),tel:033-256-4444,033-256-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,13개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000959/1555484819051.jpg,근로복지공단 태백병원장례식장,"강원도 태백시 보드미길 8 (장성동, 근로복지공단태백병원)",tel:033-581-4444,033-581-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,26개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000913/1555484986024.jpg,홍천군장례식장,강원도 홍천군 홍천읍 느리울길 70 (하오안리),tel:033-436-1919,033-436-1919,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,58개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002140/1564473586658.jpg,쉴낙원 홍천장례문화원,강원도 홍천군 홍천읍 설악로 2374 (와동리),tel:033-434-7788,033-434-7788,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,5개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002961/1765780181010.JPG,춘천시민장례식장,"강원특별자치도 춘천시 영서로 2970 (사농동, 강원도새마을회관)",tel:033-244-4044,033-244-4044,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1660186270859.png,(주)서원 바른장례식장,강원도 원주시 판부면 치악로 1133 (금대리),tel:033-735-4444,033-735-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000920/1554272543148.jpg,화천군공설장례식장,"강원특별자치도 화천군 하남면 영서로 5697-66 (원천리, 화천장례식장)",tel:033-442-0452,033-442-0452,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,26개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000632/1554256394658.png,원주의료원장례식장,"강원특별자치도 원주시 서원대로 387 (개운동, 강원도원주의료원)",tel:033-760-4644,033-760-4644,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,11개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000545/1554881307505.jpg,연세대학교 원주장례식장,"강원도 원주시 일산로 20,내 (일산동, 연세대학교원주세브란스기독병원)",tel:033-744-3969,033-744-3969,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,24개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000519/1561077247868.jpg,교원예움 강원장례식장,강원도 춘천시 동내면 순환대로 877 (거두리),tel:033-261-4441,033-261-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,3개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1465956756712_1000000450_0.jpg,강원특별자치도 속초의료원 장례식장,"강원특별자치도 속초시 영랑호반길 3 (영랑동, 속초의료원)",tel:033-630-6016,033-630-6016,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,23개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002666/1709688706989.PNG,주식회사하늘정원장례식장,"강원도 삼척시 강원남부로 4539 (등봉동, 하늘정원장례식장)",tel:033-575-4441,033-575-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000681/1555316144980.jpg,정선병원장례식장,강원특별자치도 정선군 정선읍 봉양1길 145 (봉양리),tel:033-562-4444,033-562-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,33개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002267/1576462942368.jpg,속초동해장례식장,강원특별자치도 속초시 중앙로 7 (교동),tel:033-633-3964,033-633-3964,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,10개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/7000002877/1745281192723.jpg,도계장례식장,"강원특별자치도 삼척시 도계읍 도계로3길 16-25 (전두리, 도계장례식장)",tel:033-541-2404,033-541-2404,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000915/1555317380720.jpg,홍천아산병원장례식장,강원도 홍천군 홍천읍 산림공원1길 17 (갈마곡리),tel:033-430-5420,033-430-5420,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,114개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1465884401182_7000001106_0.jpg,정선장례식장,"강원특별자치도 정선군 정선읍 서동로 1277 (덕송리, 정선장례식장)",tel:033-562-4444,033-562-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000518/1554267884393.jpg,양구군장례식장,강원도 양구군 양구읍 금강산로 518-25 (하리),tel:033-480-2576,033-480-2576,,,,,,14개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002048/1555316294570.jpg,김화장례문화원,강원특별자치도 철원군 서면 와수로 13 (와수리),tel:033-458-0010,033-458-0010,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,13개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001212/1474957228807.jpg,고성장례식장,"강원특별자치도 고성군 죽왕면 향목서길 9 (향목리, 고성장례식장)",tel:033-682-5000,033-682-5000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,41개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000350/1554269998641.jpg,삼척의료원장례식장,강원도 삼척시 오십천로 418 (남양동),tel:033-572-1141,033-572-1141,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,3개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000570/1554259277205.jpg,강원특별자치도 영월의료원장례식장,"강원특별자치도 영월군 영월읍 중앙1로 59 (영흥리, 영월의료원)",tel:033-370-9142,033-370-9142,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,29개월전 업데이트
