fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,fac_update,convenient src (2),convenient src (3),convenient src (4),convenient src (5)
사설,https://15774129.go.kr/BCUser/facilitypic/1000000110/1561614478417.jpg,차병원장례식장,"경상북도 구미시 신시로10길 12 (형곡동, 차병원)",tel:054-452-1919,054-452-1919,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1694045514085.jpeg,고아농협 장례문화원,경상북도 구미시 고아읍 오로4길 112 (오로리),tel:054-482-7411,054-482-7411,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000603/1564382516395.jpg,왜관병원장례식장,"경상북도 칠곡군 왜관읍 군청2길 10 (왜관리, 왜관병원)",tel:054-976-4446,054-976-4446,https://15774129.go.kr/img/portal/sub/mark1.png,113개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000001970/1563514982534.jpg,구미푸른요양병원장례식장,경상북도 구미시 장천면 산호대로 1391 (하장리),tel:054-474-4443,054-474-4443,https://15774129.go.kr/img/portal/sub/mark4.png,1개월전 업데이트,,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1531888394644_7000001971_0.jpg,구미천사요양병원장례식장,경상북도 구미시 고아읍 이례로 46 (이례리),tel:054-481-4441,054-481-4441,https://15774129.go.kr/img/portal/sub/mark1.png,77개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1711944654828.jpeg,예천농협장례식장,경상북도 예천군 예천읍 양궁로 154 (청복리),tel:054-655-0990,054-655-0990,https://15774129.go.kr/img/portal/sub/mark1.png,2개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002592/1709687959835.PNG,구미제일요양병원장례식장,"경상북도 구미시 고아읍 선산대로 1116 (오로리, 제일병원)",tel:054-481-1900,054-481-1900,https://15774129.go.kr/img/portal/sub/mark1.png,48개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000057/1560322750181.jpg,경주전문장례식장,경상북도 경주시 유림로97번길 45 (황성동),tel:054-744-4000,054-744-4000,https://15774129.go.kr/img/portal/sub/mark4.png,1개월전 업데이트,,,,
공설,https://15774129.go.kr/BCUser/facilitypic/1465962432201_1000000513_0.JPG,안동의료원 장례식장 국화원,"경상북도 안동시 태사2길 55,안동의료원 (북문동)",tel:054-850-6440,054-850-6440,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000229/1563512989783.jpg,동국대학교경주병원장례식장,경상북도 경주시 동대로 87 (석장동),tel:054-770-8333,054-770-8333,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1601957764427_7000002404_0.jpg,선산 국화원 전문 장례식장,경상북도 구미시 선산읍 선산대로 1269 (화조리),tel:054-481-2929,054-481-2929,https://15774129.go.kr/img/portal/sub/mark2.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1702274208466.jpg,구미가톨릭요양병원장례식장,경상북도 구미시 야은로 483 (도량동),tel:054-442-2323,054-442-2323,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000110/1561614478417.jpg,차병원장례식장,"경상북도 구미시 신시로10길 12 (형곡동, 차병원)",tel:054-452-1919,054-452-1919,https://15774129.go.kr/img/portal/sub/mark4.png,0개월전 업데이트,,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1694045514085.jpeg,고아농협 장례문화원,경상북도 구미시 고아읍 오로4길 112 (오로리),tel:054-482-7411,054-482-7411,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
