fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
공설,https://15774129.go.kr/BCUser/facilitypic/1565144735123_1000000115_0.jpg,대구의료원 국화원 장례식장,"대구광역시 서구 평리로 157 (중리동, 대구의료원)",tel:053-560-9552,053-560-9552,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1662536517481.png,대구가톨릭대학교의료원 장례식장,"대구광역시 남구 두류공원로17길 33 (대명동, 대구가톨릭의과대학병원)",tel:053-650-4444,053-650-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1562986458815_1000000067_0.jpg,계명대학교동산병원백합원,"대구광역시 달서구 달구벌대로 1035 (신당동, 계명대학교동산병원)",tel:053-258-4444,053-258-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000051/1554969054824.jpg,경북대학교병원장례식장,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",tel:053-200-6464,053-200-6464,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,25개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000554/1561093998243.png,영남대학교의료원 장례식장,대구광역시 남구 현충로 170 (대명동),tel:053-620-4670,053-620-4670,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,12개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1574073372605_7000002268_0.jpg,대구시민전문장례식장,대구광역시 북구 호국로 898 (동호동),tel:053-324-4444,053-324-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002946/1758780605407.jpg,대명휴장례식장,대구광역시 남구 대명로 86 지하1층 대명휴장례식장(대명동),tel:053-472-0001,053-472-0001,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1734419749258.jpg,칠곡경북대학교병원장례식장,대구광역시 북구 호국로 807 (학정동),tel:053-200-2500,053-200-2500,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002206/1555306275605.jpg,계명대학교대구동산병원장례식장,"대구광역시 중구 달성로 56 (동산동, 계명대학교동산의료원)",tel:053-250-8451,053-250-8451,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000276/1554960797925.jpg,배성병원장례식장,대구광역시 북구 검단로 140 (검단동),tel:053-382-1600,053-382-1600,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,58개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000418/1554958253394.jpg,웰니스1004병원장례식장,대구광역시 서구 달구벌대로 1889 (내당동),tel:053-522-0444,053-522-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1650246155502.JPG,k병원장례식장 예지원,대구광역시 북구 칠곡중앙대로 357 (태전동),tel:053-322-4444,053-322-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,31개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1565144735123_1000000115_0.jpg,대구의료원 국화원 장례식장,"대구광역시 서구 평리로 157 (중리동, 대구의료원)",tel:053-560-9552,053-560-9552,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
