fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update,btn_package_none
사설,https://15774129.go.kr/BCUser/facilitypic/1633059661299.jpg,인천가족공원장례식장,"인천광역시 남동구 만월북로 115 (간석동, 인천가족공원장례식장)",tel:032-501-1925,032-501-1925,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,5개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/7000002076/1536993494835.jpg,서해장례문화원,인천광역시 강화군 강화읍 중앙로74번길 10 (남산리),tel:032-933-4463,032-933-4463,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,7개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/1614067203119.jpg,국제성모장례식장,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",tel:032-290-3501,032-290-3501,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/1748589638893.jpg,금강장례식장,"인천광역시 미추홀구 인주대로 452 (주안동, 금강요양병원,새한장례식장)",tel:032-432-4444,032-432-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,6개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/1612338349177.jpg,인천성모장례식장,"인천광역시 부평구 동수로 56 (부평동, 가톨릭대학교인천성모병원)",tel:032-517-0710,032-517-0710,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001310/1555491295824.png,청기와장례식장(계양점),인천광역시 계양구 아나지로 559 (서운동),tel:032-546-4444,032-546-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,5개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/1532059288676_7000002062_0.jpg,쉴낙원 인천장례식장,인천광역시 계양구 아나지로 552 (서운동),tel:032-548-1009,032-548-1009,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,6개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/1521004972205_7000001253_0.jpg,인천삼성장례문화원,인천광역시 중구 우현로62번길 34-1 (경동),tel:032-777-4445,032-777-4445,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/7000002169/1561625412563.jpg,예지장례식장,"인천광역시 중구 개항로 82.2층예지장례식장 (경동, 예지요양병원)",tel:032-766-6444,032-766-6444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트,장례예식 패키지 상품 없음
사설,https://15774129.go.kr/BCUser/facilitypic/1491449061307_7000001850_0.jpg,(주)세종병원장례식장,"인천광역시 계양구 계양문화로 20 (작전동, 인천세종병원)",tel:032-240-8444,032-240-8444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트,장례예식 패키지 상품 없음
