fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
사설,https://15774129.go.kr/BCUser/facilitypic/1473156851859_7000001214_0.jpg,충주병원장례식장(주),충청북도 충주시 중심1길 12 (문화동),tel:043-845-5100,043-845-5100,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,4개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000411/1474967748480.jpg,청주성모병원 장례식장,충청북도 청주시 청원구 주성로 173-19 (주중동),tel:043-210-5444,043-210-5444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000788/1554273491427.jpg,청주의료원장례식장,충청북도 청주시 서원구 흥덕로 48 (사직동),tel:043-279-0144,043-279-0144,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,4개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1708677879902.JPG,새로운장례식장,"충청북도 충주시 중심3길 5 (문화동, 새로운병원장례식장)",tel:043-853-9300,043-853-9300,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,1개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000799/1554265080366.png,충주의료원장례식장,충청북도 충주시 안림로 239-50 (안림동),tel:043-871-0444,043-871-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1564450453866_1000000378_0.jpg,제천서울병원장례식장,"충청북도 제천시 숭문로 57 (서부동, 서울병원)",tel:043-644-4422,043-644-4422,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1478500533654_1000000835_0.gif,하나장례식장,충청북도 청주시 서원구 대림로 431 (죽림동),tel:043-270-8400,043-270-8400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000046/1554969195113.jpg,건국대학교충주병원장례식장,충청북도 충주시 국원대로 82 (교현동),tel:043-840-8444,043-840-8444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,14개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000178/1555315227328.jpg,옥천농협장례식장,충청북도 옥천군 옥천읍 옥천로 1720 (대천리),tel:043-731-4443,043-731-4443,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000701/1555314753522.jpg,명지병원장례식장,"충청북도 제천시 내토로 993, 제천명지병원장례식장 (고암동)",tel:043-651-4440,043-651-4440,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,7개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000787/1554271828498.jpg,청주시장례식장,충청북도 청주시 상당구 목련로 731 (월오동),tel:043-291-4444,043-291-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,7개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1489649076986_7000001676_0.jpg,제천세종장례식장,충청북도 제천시 송학주천로 46 (고암동),tel:043-642-4441,043-642-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1473156851859_7000001214_0.jpg,충주병원장례식장(주),충청북도 충주시 중심1길 12 (문화동),tel:043-845-5100,043-845-5100,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,4개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000411/1474967748480.jpg,청주성모병원 장례식장,충청북도 청주시 청원구 주성로 173-19 (주중동),tel:043-210-5444,043-210-5444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002132/1555315298250.jpg,옥천성모장례식장,"충청북도 옥천군 옥천읍 성왕로 1195 (문정리, 옥천성모병원)",tel:043-730-7444,043-730-7444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002630/1709689742964.PNG,단양장례식장,"충청북도 단양군 단양읍 수양개유적로 6 (상진리, 단양장례식장)",tel:043-421-4444,043-421-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,41개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000702/1555312551035.jpg,제천제일장례식장,충청북도 제천시 내토로10길 21 (천남동),tel:043-645-4114,043-645-4114,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,9개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000101/1555315893707.jpg,괴산장례식장,충청북도 괴산군 괴산읍 읍내로 35-4 (대사리),tel:043-832-4444,043-832-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1606193985255_7000002482_0.jpg,청주탑요양병원장례식장,충청북도 청주시 서원구 궁뜰로 16(미평동),tel:043-296-9696,043-296-9696,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,7개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000096/1554971010260.jpg,진천제일장례식장,충청북도 진천군 진천읍 진광로 190 (송두리),tel:043-537-4441,043-537-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,152개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000095/1554970485779.jpg,효성병원 장례식장,충청북도 청주시 청원구 2순환로94번길 21 (율량동),tel:043-221-4004,043-221-4004,,,,,,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000791/1554970575236.jpg,초정유진장례식장,충청북도 청주시 청원구 내수읍 우산길 91 (우산리),tel:043-213-0030,043-213-0030,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,35개월전 업데이트
